coupling,spectral_radius,spectral_gate_pass,finite_horizon_gain,maximizing_time,predicted_worst_radius,certified_lower_gain,certified_lower_gain_squared_fraction,certified_upper_gain,certified_upper_gain_fraction,certified_radius_decision,spectral_declared_radius_miss,sampled_direction_gain,sampled_maximizing_time,sampled_to_exact_ratio,witness_absolute_error,eigenvalue_discrepancy,departure_from_normality,maximum_metric_reframe_relative_error,reframe_count
0.0,0.9,True,1.0,0,0.05,1.0,1/1,1.0,1/1,pass,False,1.0,0,1.0,0.0,0.0,0.0,2.886579864025407e-15,8
0.025,0.9,True,1.0,0,0.05,1.0,1/1,1.0,1/1,pass,False,1.0,0,1.0,0.0,0.0,0.0008838834764831656,2.6645352591003757e-15,8
0.05,0.9,True,1.0,0,0.05,1.0,1/1,1.0,1/1,pass,False,1.0,0,1.0,0.0,0.0,0.003535533905932662,4.6629367034256575e-15,8
0.075,0.9,True,1.0,0,0.05,1.0,1/1,1.0,1/1,pass,False,1.0,0,1.0,0.0,0.0,0.007954951288348647,4.440892098500626e-15,8
0.1,0.9,True,1.0,0,0.05,1.0,1/1,1.0,1/1,pass,False,1.0,0,1.0,0.0,0.0,0.014142135623730963,2.220446049250313e-15,8
0.125,0.9,True,1.7095990580668707,40,0.08547995290334354,1.0,1/1,2.3978272220480497,49107501507544056443434384382337919631660823/20480000000000000000000000000000000000000000,pass,False,1.5386023269322437,40,0.899978459669964,2.7755575615628914e-17,0.0,0.02209708691207961,6.494054962106386e-15,8
0.15,0.9,True,3.85237050678955,40,0.19261852533947751,2.3807846422107484,14510426912221598570955228945988435750207052097073850736791262009127539200499374619/2560000000000000000000000000000000000000000000000000000000000000000000000000000000,5.603145823929649,224125832957185966101063188585632223298831/40000000000000000000000000000000000000000,pass,False,3.5558021124705714,40,0.9230166481141167,2.7755575615628914e-17,0.0,0.03181980515339459,5.072182231424761e-15,8
0.175,0.9,True,8.246719446236948,40,0.41233597231184743,5.493854435016286,12659431436461535415270733907131903009935873901960973852296239641796554071958609123603373/419430400000000000000000000000000000000000000000000000000000000000000000000000000000000,12.235979960138751,250592869583641621721047294479061313565227001/20480000000000000000000000000000000000000000,numerically_indeterminate,False,7.5701907325653295,40,0.9179638984832539,2.7755575615628914e-16,0.0,0.043310290347676056,6.462049003779865e-15,8
0.2,0.9,True,16.783655925530894,40,0.8391827962765448,11.941907807045874,14260916207198319666380674374347410662454339668328733952959799071783525391619358337/100000000000000000000000000000000000000000000000000000000000000000000000000000000,25.090038728796348,10036015491518538614391975336744174828297/400000000000000000000000000000000000000,fail,True,15.87945733334184,40,0.9461262435192318,2.220446049250313e-16,0.0,0.05656854249492385,8.467079388576355e-15,8
0.225,0.9,True,32.550000173283806,40,1.6275000086641904,24.46528253434146,50210017335115521251851277493466637562359863608832729243720752746917056953268517878805737/83886080000000000000000000000000000000000000000000000000000000000000000000000000000000,48.61018852273509,995536660945614682964891929619843217948717699/20480000000000000000000000000000000000000000,fail,True,30.647378086546013,40,0.9415477088599399,4.440892098500626e-16,0.0,0.07159456159513798,9.168293315837951e-15,8
0.25,0.9,True,60.35400328277041,40,3.0177001641385206,47.43324911783311,28798887959992517733235358755121509623634602458743441213379571007051390089573526205103/12800000000000000000000000000000000000000000000000000000000000000000000000000000000,89.55465550226491,7164372440181192135501748459087496571205383/80000000000000000000000000000000000000000,fail,True,55.73276323437126,40,0.9234310932657156,4.440892098500626e-16,0.0,0.08838834764831845,6.710563299102272e-15,8
