degree,observation_order,intervention_budget,detector_advantage,query_upper_bound,threshold_predicted
2,0,0,0,1,0
2,0,1,0,13,0
2,0,2,1,73,1
2,0,3,1,233,1
2,0,4,1,473,1
2,0,5,1,665,1
2,0,6,1,729,1
2,1,0,0,7,0
2,1,1,1,79,1
2,1,2,1,379,1
2,1,3,1,1019,1
2,1,4,1,1739,1
2,1,5,1,2123,1
2,1,6,1,2187,1
2,2,0,1,22,1
2,2,1,1,214,1
2,2,2,1,874,1
2,2,3,1,1994,1
2,2,4,1,2954,1
2,2,5,1,3338,1
2,2,6,1,3402,1
2,3,0,1,42,1
2,3,1,1,354,1
2,3,2,1,1254,1
2,3,3,1,2534,1
2,3,4,1,3494,1
2,3,5,1,3878,1
2,3,6,1,3942,1
2,4,0,1,57,1
2,4,1,1,429,1
2,4,2,1,1389,1
2,4,3,1,2669,1
2,4,4,1,3629,1
2,4,5,1,4013,1
2,4,6,1,4077,1
2,5,0,1,63,1
2,5,1,1,447,1
2,5,2,1,1407,1
2,5,3,1,2687,1
2,5,4,1,3647,1
2,5,5,1,4031,1
2,5,6,1,4095,1
2,6,0,1,64,1
2,6,1,1,448,1
2,6,2,1,1408,1
2,6,3,1,2688,1
2,6,4,1,3648,1
2,6,5,1,4032,1
2,6,6,1,4096,1
3,0,0,0,1,0
3,0,1,0,13,0
3,0,2,0,73,0
3,0,3,1,233,1
3,0,4,1,473,1
3,0,5,1,665,1
3,0,6,1,729,1
3,1,0,0,7,0
3,1,1,0,79,0
3,1,2,1,379,1
3,1,3,1,1019,1
3,1,4,1,1739,1
3,1,5,1,2123,1
3,1,6,1,2187,1
3,2,0,0,22,0
3,2,1,1,214,1
3,2,2,1,874,1
3,2,3,1,1994,1
3,2,4,1,2954,1
3,2,5,1,3338,1
3,2,6,1,3402,1
3,3,0,1,42,1
3,3,1,1,354,1
3,3,2,1,1254,1
3,3,3,1,2534,1
3,3,4,1,3494,1
3,3,5,1,3878,1
3,3,6,1,3942,1
3,4,0,1,57,1
3,4,1,1,429,1
3,4,2,1,1389,1
3,4,3,1,2669,1
3,4,4,1,3629,1
3,4,5,1,4013,1
3,4,6,1,4077,1
3,5,0,1,63,1
3,5,1,1,447,1
3,5,2,1,1407,1
3,5,3,1,2687,1
3,5,4,1,3647,1
3,5,5,1,4031,1
3,5,6,1,4095,1
3,6,0,1,64,1
3,6,1,1,448,1
3,6,2,1,1408,1
3,6,3,1,2688,1
3,6,4,1,3648,1
3,6,5,1,4032,1
3,6,6,1,4096,1
4,0,0,0,1,0
4,0,1,0,13,0
4,0,2,0,73,0
4,0,3,0,233,0
4,0,4,1,473,1
4,0,5,1,665,1
4,0,6,1,729,1
4,1,0,0,7,0
4,1,1,0,79,0
4,1,2,0,379,0
4,1,3,1,1019,1
4,1,4,1,1739,1
4,1,5,1,2123,1
4,1,6,1,2187,1
4,2,0,0,22,0
4,2,1,0,214,0
4,2,2,1,874,1
4,2,3,1,1994,1
4,2,4,1,2954,1
4,2,5,1,3338,1
4,2,6,1,3402,1
4,3,0,0,42,0
4,3,1,1,354,1
4,3,2,1,1254,1
4,3,3,1,2534,1
