n,k,flip_rate,first_crossover_width,first_crossover_ratio
13,3,1/20,10,0.009535918626827717
13,3,3/20,10,0.007905138339920948
13,3,1/4,10,0.008158508158508158
13,4,1/20,11,0.003885003885003885
13,4,3/20,11,0.003787878787878788
13,4,1/4,11,0.0038699164912757147
15,3,1/20,12,0.00507185122569738
15,3,3/20,12,0.004863221884498481
15,3,1/4,12,0.0048265460030165915
15,4,1/20,13,0.0019623233908948193
15,4,3/20,13,0.0018315018315018315
15,4,1/4,13,0.001898101898101898
17,3,1/20,14,0.0032679738562091504
17,3,3/20,14,0.0031862745098039215
17,3,1/4,14,0.0031981724728726442
17,4,1/20,15,0.0010866415531729933
17,4,3/20,15,0.0009753901560624249
17,4,1/4,15,0.0010504201680672268
