n,k,block_size,flip_rate,covering_number,counting_lower_bound,schoenheim_lower_bound,mip_gap,mip_dual_bound,mip_node_count,samples_per_query,total_samples,fwer_upper,power_lower,pure_observation_queries,pure_observation_samples,sample_ratio,beats_pure_observation,random_complete_rate
13,3,10,1/20,4,3,4,0.0,3.9999999999999805,1,15,60,121/4096,63163581160310179/65536000000000000,286,6292,0.009535918626827717,1,0
13,3,11,1/20,4,2,4,0.0,3.999999999999772,2,15,60,121/4096,63163581160310179/65536000000000000,286,6292,0.009535918626827717,1,13/128
13,3,12,1/20,4,2,4,0.0,4.0,2,15,60,121/4096,63163581160310179/65536000000000000,286,6292,0.009535918626827717,1,1
13,3,13,1/20,1,1,1,0.0,1.0,0,9,9,5/128,11888494133/12800000000,286,6292,0.0014303877940241576,1,1
13,3,10,3/20,4,3,4,0.0,3.9999999999999805,1,26,104,39239/1048576,30758455654473755810753331978179/33554432000000000000000000000000,286,13156,0.007905138339920948,1,0
13,3,11,3/20,4,2,4,0.0,3.999999999999772,2,26,104,39239/1048576,30758455654473755810753331978179/33554432000000000000000000000000,286,13156,0.007905138339920948,1,13/128
13,3,12,3/20,4,2,4,0.0,4.0,2,26,104,39239/1048576,30758455654473755810753331978179/33554432000000000000000000000000,286,13156,0.007905138339920948,1,1
13,3,13,3/20,1,1,1,0.0,1.0,0,17,17,1607/32768,59066943224413682347/65536000000000000000,286,13156,0.0012921860747947705,1,1
13,3,10,1/4,4,3,4,0.0,3.9999999999999805,1,56,224,376674527189599/9007199254740992,2374400782722103815991434880831775/2596148429267413814265248164610048,286,27456,0.008158508158508158,1,0
13,3,11,1/4,4,2,4,0.0,3.999999999999772,2,56,224,376674527189599/9007199254740992,2374400782722103815991434880831775/2596148429267413814265248164610048,286,27456,0.008158508158508158,1,13/128
13,3,12,1/4,4,2,4,0.0,4.0,2,56,224,376674527189599/9007199254740992,2374400782722103815991434880831775/2596148429267413814265248164610048,286,27456,0.008158508158508158,1,1
13,3,13,1/4,1,1,1,0.0,1.0,0,42,42,1496659417/34359738368,555786283484642355386633/604462909807314587353088,286,27456,0.0015297202797202797,1,1
13,4,11,1/20,5,3,5,0.0,5.0,5,15,75,605/16384,63163581160310179/65536000000000000,715,19305,0.003885003885003885,1,3/256
13,4,12,1/20,5,2,5,0.0,5.000000000000013,1,15,75,605/16384,63163581160310179/65536000000000000,715,19305,0.003885003885003885,1,1
13,4,13,1/20,1,1,1,0.0,1.0,0,9,9,5/128,11888494133/12800000000,715,19305,0.0004662004662004662,1,1
13,4,11,3/20,5,3,5,0.0,5.0,5,26,130,196195/4194304,30758455654473755810753331978179/33554432000000000000000000000000,715,34320,0.003787878787878788,1,3/256
13,4,12,3/20,5,2,5,0.0,5.000000000000013,1,26,130,196195/4194304,30758455654473755810753331978179/33554432000000000000000000000000,715,34320,0.003787878787878788,1,1
13,4,13,3/20,1,1,1,0.0,1.0,0,17,17,1607/32768,59066943224413682347/65536000000000000000,715,34320,0.0004953379953379954,1,1
13,4,11,1/4,5,3,5,0.0,5.0,5,57,285,1352552661513245/36028797018963968,2338547828979240446609287179458225/2596148429267413814265248164610048,715,73645,0.0038699164912757147,1,3/256
13,4,12,1/4,5,2,5,0.0,5.000000000000013,1,57,285,1352552661513245/36028797018963968,2338547828979240446609287179458225/2596148429267413814265248164610048,715,73645,0.0038699164912757147,1,1
13,4,13,1/4,1,1,1,0.0,1.0,0,42,42,1496659417/34359738368,555786283484642355386633/604462909807314587353088,715,73645,0.0005703034829248421,1,1
15,3,12,1/20,4,3,4,0.0,4.0,1,15,60,121/4096,63163581160310179/65536000000000000,455,11830,0.00507185122569738,1,1/128
15,3,13,1/20,4,2,4,0.0,3.9999999999997566,2,15,60,121/4096,63163581160310179/65536000000000000,455,11830,0.00507185122569738,1,19/128
15,3,14,1/20,4,2,4,0.0,4.0,4,15,60,121/4096,63163581160310179/65536000000000000,455,11830,0.00507185122569738,1,1
15,3,15,1/20,1,1,1,0.0,1.0,0,9,9,5/128,11888494133/12800000000,455,11830,0.000760777683854607,1,1
15,3,12,3/20,4,3,4,0.0,4.0,1,26,104,39239/1048576,30758455654473755810753331978179/33554432000000000000000000000000,455,21385,0.004863221884498481,1,1/128
15,3,13,3/20,4,2,4,0.0,3.9999999999997566,2,26,104,39239/1048576,30758455654473755810753331978179/33554432000000000000000000000000,455,21385,0.004863221884498481,1,19/128
15,3,14,3/20,4,2,4,0.0,4.0,4,26,104,39239/1048576,30758455654473755810753331978179/33554432000000000000000000000000,455,21385,0.004863221884498481,1,1
