n,k,flip_rate,plan,observation_order,intervention_width,query_count,samples_per_query,total_samples,cutoff,fwer_upper,power_lower,feasible
8,3,1/20,boundary_s0,3,0,56,19,1064,2,1337/32768,244699273200091417605281/262144000000000000000000,1
8,3,1/20,boundary_s1,2,1,168,21,3528,2,609/16384,11994169162440651134064599/13107200000000000000000000,1
8,3,1/20,boundary_s2,1,2,168,21,3528,2,609/16384,11994169162440651134064599/13107200000000000000000000,1
8,3,1/20,boundary_s3,0,3,56,19,1064,2,1337/32768,244699273200091417605281/262144000000000000000000,1
8,3,1/20,containment_s4,0,4,70,20,1400,2,7385/262144,48471281563677682933571971/52428800000000000000000000,1
8,3,1/20,containment_s5,0,5,56,19,1064,2,1337/32768,244699273200091417605281/262144000000000000000000,1
8,3,1/20,containment_s6,0,6,28,18,504,2,301/8192,15431615625867732474407/16384000000000000000000,1
8,3,1/20,containment_s7,0,7,8,16,128,2,137/4096,62722024833956407861/65536000000000000000,1
8,3,1/20,full_clamp,0,8,1,9,9,1,5/128,11888494133/12800000000,1
8,3,3/20,boundary_s0,3,0,56,37,2072,8,90542711/2147483648,623704295907377219707614669661501119183243181/687194767360000000000000000000000000000000000,1
8,3,3/20,boundary_s1,2,1,168,42,7056,9,12539542911/274877906944,400844266087307031258167920438768609048657884454258003/439804651110400000000000000000000000000000000000000000,1
8,3,3/20,boundary_s2,1,2,168,42,7056,9,12539542911/274877906944,400844266087307031258167920438768609048657884454258003/439804651110400000000000000000000000000000000000000000,1
8,3,3/20,boundary_s3,0,3,56,37,2072,8,90542711/2147483648,623704295907377219707614669661501119183243181/687194767360000000000000000000000000000000000,1
8,3,3/20,containment_s4,0,4,70,40,2800,9,3268874035/68719476736,1282002710947398504736830772507689153724827569143217/1374389534720000000000000000000000000000000000000000,1
8,3,3/20,containment_s5,0,5,56,37,2072,8,90542711/2147483648,623704295907377219707614669661501119183243181/687194767360000000000000000000000000000000000,1
8,3,3/20,containment_s6,0,6,28,36,1008,8,71749153/2147483648,1580368633908757492947856944350258123231594191/1717986918400000000000000000000000000000000000,1
8,3,3/20,containment_s7,0,7,8,27,216,6,198797/4194304,604937146143339827731706306012131/671088640000000000000000000000000,1
8,3,3/20,full_clamp,0,8,1,17,17,4,1607/32768,59066943224413682347/65536000000000000000,1
8,3,1/4,boundary_s0,3,0,56,81,4536,25,795606541748617987073/18889465931478580854784,166004869209846013798394332727343992659359050135/182687704666362864775460604089535377456991567872,1
8,3,1/4,boundary_s1,2,1,168,92,15456,28,723038024856294349726839/19342813113834066795298816,693581709570700495868700283698485869360479729904408715/766247770432944429179173513575154591809369561091801088,1
8,3,1/4,boundary_s2,1,2,168,92,15456,28,723038024856294349726839/19342813113834066795298816,693581709570700495868700283698485869360479729904408715/766247770432944429179173513575154591809369561091801088,1
8,3,1/4,boundary_s3,0,3,56,81,4536,25,795606541748617987073/18889465931478580854784,166004869209846013798394332727343992659359050135/182687704666362864775460604089535377456991567872,1
8,3,1/4,containment_s4,0,4,70,84,5880,26,26569958449013842729265/604462909807314587353088,21387355994942152642842557298296244882302904342403/23384026197294446691258957323460528314494920687616,1
8,3,1/4,containment_s5,0,5,56,81,4536,25,795606541748617987073/18889465931478580854784,166004869209846013798394332727343992659359050135/182687704666362864775460604089535377456991567872,1
8,3,1/4,containment_s6,0,6,28,74,2072,23,3132571668073075445/73786976294838206464,10122698923905562375428628342808868556339685/11150372599265311570767859136324180752990208,1
8,3,1/4,containment_s7,0,7,8,60,480,19,3584203906519219/72057594037927936,603147657093955078649154388183487435/664613997892457936451903530140172288,1
8,3,1/4,full_clamp,0,8,1,42,42,14,1496659417/34359738368,555786283484642355386633/604462909807314587353088,1
8,4,1/20,boundary_s0,4,0,70,20,1400,2,7385/262144,48471281563677682933571971/52428800000000000000000000,1
