n,k,flip_rate,pure_observation_samples,best_boundary_samples,boundary_inversion,first_containment_inversion_width,first_containment_inversion_samples,full_clamp_samples
8,3,1/20,1064,1064,0,6,504,9
8,3,3/20,2072,2072,0,6,1008,17
8,3,1/4,4536,4536,0,6,2072,42
8,4,1/20,1400,1400,0,5,1064,9
8,4,3/20,2800,2800,0,5,2072,17
8,4,1/4,5880,5880,0,5,4536,42
8,5,1/20,1064,1064,0,6,504,9
8,5,3/20,2072,2072,0,6,1008,17
8,5,1/4,4536,4536,0,6,2072,42
8,6,1/20,504,504,0,7,128,9
8,6,3/20,1008,1008,0,7,216,17
8,6,1/4,2072,2072,0,7,480,42
12,3,1/20,4620,4620,0,10,1254,9
12,3,3/20,10120,10120,0,10,2442,17
12,3,1/4,20240,20240,0,10,5346,42
12,4,1/20,12870,12870,0,9,4620,9
12,4,3/20,23265,23265,0,9,10120,17
12,4,1/4,50490,50490,0,9,20240,42
12,5,1/20,21384,21384,0,8,12870,9
12,5,3/20,38016,38016,0,8,23265,17
12,5,1/4,83952,83952,0,8,50490,42
12,6,1/20,24948,24948,0,7,21384,9
12,6,3/20,48048,48048,0,7,38016,17
12,6,1/4,100716,100716,0,7,83952,42
16,3,1/20,14560,14560,0,14,2400,9
16,3,3/20,26880,26880,0,14,5040,17
16,3,1/4,57680,57680,0,14,10560,42
16,4,1/20,50960,50960,0,13,14560,9
16,4,3/20,96460,96460,0,13,26880,17
16,4,1/4,207480,207480,0,13,57680,42
16,5,1/20,131040,131040,0,12,50960,9
16,5,3/20,253344,253344,0,12,96460,17
16,5,1/4,528528,528528,0,12,207480,42
16,6,1/20,248248,248248,0,11,131040,9
16,6,3/20,472472,472472,0,11,253344,17
16,6,1/4,1025024,1025024,0,11,528528,42
20,3,1/20,31920,31920,0,18,3990,9
20,3,3/20,59280,59280,0,18,8550,17
20,3,1/4,125400,125400,0,18,17480,42
20,4,1/20,145350,145350,0,17,31920,9
20,4,3/20,281010,281010,0,17,59280,17
20,4,1/4,586245,586245,0,17,125400,42
20,5,1/20,496128,496128,0,16,145350,9
20,5,3/20,976752,976752,0,16,281010,17
20,5,1/4,2046528,2046528,0,16,586245,42
20,6,1/20,1317840,1317840,0,15,496128,9
20,6,3/20,2635680,2635680,0,15,976752,17
20,6,1/4,5503920,5503920,0,15,2046528,42
