covertness_regime,delta,audit_charge,minimax_error,minimax_error_float,eligible_code_count,optimal_code_count,optimal_code_hash_digest
mixture,0,0,0,0.0,19,6,db862a4c36a5fd495787adfb78221c3de56e495534b824792529bc05a8d60c25
mixture,0,1,1/4,0.25,19,6,db862a4c36a5fd495787adfb78221c3de56e495534b824792529bc05a8d60c25
mixture,0,2,1/2,0.5,19,19,5186610d12c3cc90061ce2e51d13b5b9be98e92f4686930d6a392446baf7e79a
mixture,0,3,1/2,0.5,19,19,5186610d12c3cc90061ce2e51d13b5b9be98e92f4686930d6a392446baf7e79a
mixture,0,4,1/2,0.5,19,19,5186610d12c3cc90061ce2e51d13b5b9be98e92f4686930d6a392446baf7e79a
mixture,1/8,0,0,0.0,211,30,b7e6e0e1f8209957ebbac15d21337bb6323232d4d57c95f2d11a83ae3d017ce3
mixture,1/8,1,1/4,0.25,211,6,db862a4c36a5fd495787adfb78221c3de56e495534b824792529bc05a8d60c25
mixture,1/8,2,3/7,0.42857142857142855,211,24,9401fcdac94174a60fcaacdf6b6fe874521fc0af92aaee1f7253f2afa23309f6
mixture,1/8,3,1/2,0.5,211,211,f0e4c53b7b9ceec5581e1ca5f8af315f63e59cd950298dbd0e121f53391060bd
mixture,1/8,4,1/2,0.5,211,211,f0e4c53b7b9ceec5581e1ca5f8af315f63e59cd950298dbd0e121f53391060bd
mixture,1/4,0,0,0.0,667,102,21e2acc744ce5538533561148b50f0d643b9ccca041b59812dc5ddf6de31ca3b
mixture,1/4,1,1/4,0.25,667,6,db862a4c36a5fd495787adfb78221c3de56e495534b824792529bc05a8d60c25
mixture,1/4,2,3/7,0.42857142857142855,667,72,4ed6f444d8acc76f9730722b76cf0c32fbe048da7c636858f5cdd8a760dc55b1
mixture,1/4,3,1/2,0.5,667,667,9c1e07b15b47b13fe4e7aa213932585c7f647ecc1579224e1a443f2e5318edc5
mixture,1/4,4,1/2,0.5,667,667,9c1e07b15b47b13fe4e7aa213932585c7f647ecc1579224e1a443f2e5318edc5
mixture,1/2,0,0,0.0,1197,162,49b044030e2ac3b9a1b6e9be34af90ebdf5754c25d757a770dab7d71d7c91862
mixture,1/2,1,1/4,0.25,1197,6,db862a4c36a5fd495787adfb78221c3de56e495534b824792529bc05a8d60c25
mixture,1/2,2,3/7,0.42857142857142855,1197,80,627d99b78caf35fd772892fe8069e23ace984e9fa31fc3f64c0d8282c8cea3d0
mixture,1/2,3,1/2,0.5,1197,1197,049cc6d5e91ceb513e0f513fcf64e8ef61bf67f761aaa612bcc6641181dfb153
mixture,1/2,4,1/2,0.5,1197,1197,049cc6d5e91ceb513e0f513fcf64e8ef61bf67f761aaa612bcc6641181dfb153
per_message,0,0,1/2,0.5,1,1,084e13a8db3fa795d2a79c76afbf01cacbc49c9425f1544e6a1026f6f585ebfc
per_message,0,1,1/2,0.5,1,1,084e13a8db3fa795d2a79c76afbf01cacbc49c9425f1544e6a1026f6f585ebfc
per_message,0,2,1/2,0.5,1,1,084e13a8db3fa795d2a79c76afbf01cacbc49c9425f1544e6a1026f6f585ebfc
per_message,0,3,1/2,0.5,1,1,084e13a8db3fa795d2a79c76afbf01cacbc49c9425f1544e6a1026f6f585ebfc
per_message,0,4,1/2,0.5,1,1,084e13a8db3fa795d2a79c76afbf01cacbc49c9425f1544e6a1026f6f585ebfc
per_message,1/8,0,1/2,0.5,1,1,084e13a8db3fa795d2a79c76afbf01cacbc49c9425f1544e6a1026f6f585ebfc
per_message,1/8,1,1/2,0.5,1,1,084e13a8db3fa795d2a79c76afbf01cacbc49c9425f1544e6a1026f6f585ebfc
per_message,1/8,2,1/2,0.5,1,1,084e13a8db3fa795d2a79c76afbf01cacbc49c9425f1544e6a1026f6f585ebfc
per_message,1/8,3,1/2,0.5,1,1,084e13a8db3fa795d2a79c76afbf01cacbc49c9425f1544e6a1026f6f585ebfc
per_message,1/8,4,1/2,0.5,1,1,084e13a8db3fa795d2a79c76afbf01cacbc49c9425f1544e6a1026f6f585ebfc
per_message,1/4,0,1/4,0.25,169,84,e4b01cc9cc3db823086d6d8dbfd078f5c239a5255efe9a774e6bd4a0ab98a9ab
per_message,1/4,1,3/8,0.375,169,24,6553df9872a800fcfa6eea018671b1cbada01b9fd006d7f30b87dc83339e6b1b
per_message,1/4,2,1/2,0.5,169,169,c6f8146453231f3995f3362ad6e8e650a7274c0fe4f1530006f5f31523119017
per_message,1/4,3,1/2,0.5,169,169,c6f8146453231f3995f3362ad6e8e650a7274c0fe4f1530006f5f31523119017
per_message,1/4,4,1/2,0.5,169,169,c6f8146453231f3995f3362ad6e8e650a7274c0fe4f1530006f5f31523119017
per_message,1/2,0,0,0.0,961,54,1c849f36a5e852f22902595c039703d98cff72570a19cbeaf309e483aa1f70d4
per_message,1/2,1,1/4,0.25,961,6,db862a4c36a5fd495787adfb78221c3de56e495534b824792529bc05a8d60c25
per_message,1/2,2,3/7,0.42857142857142855,961,48,e7b19b13dfbe9d300b34a68301350e87a3f4ee0f8998eb801e47788f4e232c25
per_message,1/2,3,1/2,0.5,961,961,12e95c8ff2995cf03aa4254ee9534e2ab746b6c94f4920f80c89c22e7eb27a01
per_message,1/2,4,1/2,0.5,961,961,12e95c8ff2995cf03aa4254ee9534e2ab746b6c94f4920f80c89c22e7eb27a01
