k1,theta,forbidden_class_size,boundary_role,delta,delta_float,status,m_star,normal_reference_m,normal_residual,cutoff,fp_float,fn_float,predecessor_fn_float
9,1/2,26333,primary_surface,0/1,0.0,infeasible_within_uniform_cap,,,,,,,
9,3/5,26333,primary_surface,1/80,0.0125,feasible_exact,17312,17310.06659642911,1.9334035708889132,8764,0.05,0.0499974390121273,0.05000568851264701
9,2/3,26333,primary_surface,1/48,0.020833333333333332,feasible_exact,6230,6228.159856026174,1.8401439738263434,3180,0.05,0.04999961344226891,0.050009309160088077
9,3/4,26333,primary_surface,1/32,0.03125,feasible_exact,2767,2765.0627627801828,1.9372372198172343,1427,0.05,0.04998131372221405,0.050039932365415214
9,4/5,26333,primary_surface,3/80,0.0375,feasible_exact,1921,1918.5271094841037,2.4728905158963244,997,0.05,0.049872132977174716,0.050032940282764275
9,1/1,26333,primary_surface,1/16,0.0625,feasible_exact,690,687.1973854292446,2.802614570755395,367,0.05,0.049612529483910366,0.050002941926893495
10,1/2,14893,primary_surface,0/1,0.0,infeasible_within_uniform_cap,,,,,,,
10,3/5,14893,primary_surface,1/40,0.025,feasible_exact,4325,4323.456746562793,1.5432534372066584,2217,0.05,0.04998534938391567,0.05005027790777706
10,2/3,14893,primary_surface,1/24,0.041666666666666664,feasible_exact,1555,1552.9772291461218,2.022770853878228,810,0.05,0.04997981365512685,0.050013182149117846
10,3/4,14893,primary_surface,1/16,0.0625,feasible_exact,690,687.1973854292446,2.802614570755395,367,0.05,0.049612529483910366,0.050002941926893495
10,4/5,14893,primary_surface,3/40,0.075,feasible_exact,477,475.5590237037887,1.4409762962113177,256,0.05,0.04984439024492502,0.050503160802532185
10,1/1,14893,primary_surface,1/8,0.125,feasible_exact,170,167.7000449981739,2.299955001826106,96,0.05,0.049273168574066765,0.05038257560620585
11,1/2,6885,primary_surface,0/1,0.0,infeasible_within_uniform_cap,,,,,,,
11,3/5,6885,primary_surface,3/80,0.0375,feasible_exact,1921,1918.5271094841037,2.4728905158963244,997,0.05,0.049872132977174716,0.050032940282764275
11,2/3,6885,primary_surface,1/16,0.0625,feasible_exact,690,687.1973854292446,2.802614570755395,367,0.05,0.049612529483910366,0.050002941926893495
11,3/4,6885,primary_surface,3/32,0.09375,feasible_exact,304,302.39542837931884,1.6045716206811562,166,0.05,0.04987046198891937,0.05063859555063396
11,4/5,6885,primary_surface,9/80,0.1125,feasible_exact,211,208.3251105157018,2.6748894842982054,117,0.05,0.04869941785743303,0.05013388114108902
11,1/1,6885,primary_surface,3/16,0.1875,feasible_exact,73,71.44413637487749,1.5558636251225124,44,0.05,0.0484451035947678,0.05316591937979222
12,1/2,2517,primary_surface,0/1,0.0,infeasible_within_uniform_cap,,,,,,,
12,3/5,2517,primary_surface,1/20,0.05,feasible_exact,1079,1076.7994968391836,2.2005031608164245,567,0.05,0.04979545754126027,0.050102797094757956
12,2/3,2517,primary_surface,1/12,0.08333333333333333,feasible_exact,386,384.16811641363057,1.831883586369429,209,0.05,0.049957898725172485,0.050222749877295685
12,3/4,2517,primary_surface,1/8,0.125,feasible_exact,170,167.7000449981739,2.299955001826106,96,0.05,0.049273168574066765,0.05038257560620585
12,4/5,2517,primary_surface,3/20,0.15,feasible_exact,117,114.77151023688307,2.228489763116926,67,0.05,0.048512166708176645,0.05084992768279799
12,1/1,2517,primary_surface,1/4,0.25,feasible_exact,40,37.68335907698246,2.3166409230175375,25,0.05,0.046997241785821126,0.0501293720285919
13,1/2,697,primary_surface,0/1,0.0,infeasible_within_uniform_cap,,,,,,,
13,3/5,697,primary_surface,1/16,0.0625,feasible_exact,690,687.1973854292446,2.802614570755395,367,0.05,0.049612529483910366,0.050002941926893495
13,2/3,697,primary_surface,5/48,0.10416666666666667,feasible_exact,246,243.90178588280762,2.0982141171923843,136,0.05,0.049812081663269496,0.050126086866819665
13,3/4,697,primary_surface,5/32,0.15625,feasible_exact,108,105.33848302665125,2.6615169733487534,63,0.05,0.04739608361305309,0.05030584137618686
13,4/5,697,primary_surface,3/16,0.1875,feasible_exact,73,71.44413637487749,1.5558636251225124,44,0.05,0.0484451035947678,0.05316591937979222
13,1/1,697,primary_surface,5/16,0.3125,feasible_exact,23,21.960351642332757,1.039648357667243,15,0.05,0.04967108151669434,0.0656958802973314
14,1/2,137,primary_surface,0/1,0.0,infeasible_within_uniform_cap,,,,,,,
14,3/5,137,primary_surface,3/40,0.075,feasible_exact,477,475.5590237037887,1.4409762962113177,256,0.05,0.04984439024492502,0.050503160802532185
14,2/3,137,primary_surface,1/8,0.125,feasible_exact,170,167.7000449981739,2.299955001826106,96,0.05,0.049273168574066765,0.05038257560620585
14,3/4,137,primary_surface,3/16,0.1875,feasible_exact,73,71.44413637487749,1.5558636251225124,44,0.05,0.0484451035947678,0.05316591937979222
14,4/5,137,primary_surface,9/40,0.225,feasible_exact,50,47.87886163555584,2.121138364444157,31,0.05,0.0487882992931344,0.05143972727841584
14,1/1,137,primary_surface,3/8,0.375,feasible_exact,15,13.277006730079519,1.7229932699204813,11,0.05,0.04807875442340901,0.06489991980361083
15,1/2,17,primary_surface,0/1,0.0,infeasible_within_uniform_cap,,,,,,,
15,3/5,17,primary_surface,7/80,0.0875,feasible_exact,350,347.94497959074863,2.0550204092513695,190,0.05,0.04960694116569505,0.05036142692271864
15,2/3,17,primary_surface,7/48,0.14583333333333334,feasible_exact,124,121.74454499395061,2.255455006049388,71,0.05,0.04926593698669753,0.05004495437600142
