optimizer,bin_lower,bin_upper,count,phase_counts
gibbs,-1.0,-0.9,137,"{""negative_tail"": 137}"
gibbs,-0.9,-0.8,322,"{""negative_tail"": 322}"
gibbs,-0.8,-0.7,523,"{""mixed"": 24, ""negative_tail"": 499}"
gibbs,-0.7,-0.6,670,"{""mixed"": 84, ""negative_tail"": 586}"
gibbs,-0.6,-0.5,762,"{""mixed"": 177, ""negative_tail"": 585}"
gibbs,-0.5,-0.3999999999999999,870,"{""mixed"": 248, ""negative_tail"": 622}"
gibbs,-0.3999999999999999,-0.29999999999999993,1048,"{""mixed"": 378, ""negative_tail"": 670}"
gibbs,-0.29999999999999993,-0.19999999999999996,1150,"{""mixed"": 469, ""negative_tail"": 681}"
gibbs,-0.19999999999999996,-0.09999999999999998,1123,"{""mixed"": 473, ""negative_tail"": 571, ""nonnegative"": 77, ""peak_then_degrade"": 2}"
gibbs,-0.09999999999999998,0.0,955,"{""mixed"": 234, ""negative_tail"": 432, ""nonnegative"": 278, ""peak_then_degrade"": 11}"
gibbs,0.0,0.10000000000000009,1455,"{""mixed"": 147, ""negative_tail"": 555, ""nonnegative"": 706, ""peak_then_degrade"": 47}"
gibbs,0.10000000000000009,0.20000000000000018,1123,"{""mixed"": 52, ""negative_tail"": 312, ""nonnegative"": 636, ""peak_then_degrade"": 123}"
gibbs,0.20000000000000018,0.30000000000000004,1150,"{""mixed"": 24, ""negative_tail"": 192, ""nonnegative"": 764, ""peak_then_degrade"": 170}"
gibbs,0.30000000000000004,0.40000000000000013,1048,"{""mixed"": 6, ""negative_tail"": 60, ""nonnegative"": 722, ""peak_then_degrade"": 260}"
gibbs,0.40000000000000013,0.5,870,"{""negative_tail"": 2, ""nonnegative"": 636, ""peak_then_degrade"": 232}"
gibbs,0.5,0.6000000000000001,762,"{""nonnegative"": 593, ""peak_then_degrade"": 169}"
gibbs,0.6000000000000001,0.7000000000000002,670,"{""nonnegative"": 570, ""peak_then_degrade"": 100}"
gibbs,0.7000000000000002,0.8,523,"{""nonnegative"": 461, ""peak_then_degrade"": 62}"
gibbs,0.8,0.9000000000000001,322,"{""nonnegative"": 313, ""peak_then_degrade"": 9}"
gibbs,0.9000000000000001,1.0,137,"{""nonnegative"": 137}"
top_spike_mixture,-1.0,-0.9,137,"{""negative_tail"": 137}"
top_spike_mixture,-0.9,-0.8,322,"{""negative_tail"": 322}"
top_spike_mixture,-0.8,-0.7,523,"{""mixed"": 26, ""negative_tail"": 489, ""nonnegative"": 8}"
top_spike_mixture,-0.7,-0.6,670,"{""mixed"": 38, ""negative_tail"": 578, ""nonnegative"": 54}"
top_spike_mixture,-0.6,-0.5,762,"{""mixed"": 47, ""negative_tail"": 580, ""nonnegative"": 135}"
top_spike_mixture,-0.5,-0.3999999999999999,870,"{""mixed"": 55, ""negative_tail"": 610, ""nonnegative"": 205}"
top_spike_mixture,-0.3999999999999999,-0.29999999999999993,1048,"{""mixed"": 57, ""negative_tail"": 666, ""nonnegative"": 325}"
top_spike_mixture,-0.29999999999999993,-0.19999999999999996,1150,"{""mixed"": 78, ""negative_tail"": 675, ""nonnegative"": 397}"
top_spike_mixture,-0.19999999999999996,-0.09999999999999998,1123,"{""mixed"": 58, ""negative_tail"": 572, ""nonnegative"": 493}"
top_spike_mixture,-0.09999999999999998,0.0,955,"{""mixed"": 66, ""negative_tail"": 437, ""nonnegative"": 452}"
top_spike_mixture,0.0,0.10000000000000009,1455,"{""mixed"": 70, ""negative_tail"": 575, ""nonnegative"": 810}"
top_spike_mixture,0.10000000000000009,0.20000000000000018,1123,"{""mixed"": 64, ""negative_tail"": 377, ""nonnegative"": 682}"
top_spike_mixture,0.20000000000000018,0.30000000000000004,1150,"{""mixed"": 53, ""negative_tail"": 300, ""nonnegative"": 797}"
top_spike_mixture,0.30000000000000004,0.40000000000000013,1048,"{""mixed"": 64, ""negative_tail"": 209, ""nonnegative"": 775}"
top_spike_mixture,0.40000000000000013,0.5,870,"{""mixed"": 43, ""negative_tail"": 127, ""nonnegative"": 700}"
top_spike_mixture,0.5,0.6000000000000001,762,"{""mixed"": 42, ""negative_tail"": 53, ""nonnegative"": 667}"
top_spike_mixture,0.6000000000000001,0.7000000000000002,670,"{""mixed"": 23, ""negative_tail"": 8, ""nonnegative"": 639}"
top_spike_mixture,0.7000000000000002,0.8,523,"{""mixed"": 1, ""nonnegative"": 522}"
top_spike_mixture,0.8,0.9000000000000001,322,"{""nonnegative"": 322}"
top_spike_mixture,0.9000000000000001,1.0,137,"{""nonnegative"": 137}"
