policy_id,counts,proxy_gain,q_infinity_movement,q_infinity_critical_epsilon,q_infinity_margin_sign,q_2_movement_squared,q_2_critical_epsilon_squared,q_2_margin_sign,q_1_movement,q_1_critical_epsilon,q_1_margin_sign
0,0;0;0;0;15,2,8/5,5/4,positive,4,1,positive,4,1/2,positive
1,0;0;0;1;14,29/15,22/15,29/22,positive,152/45,841/760,positive,11/3,29/55,positive
2,0;0;0;2;13,28/15,4/3,7/5,positive,128/45,49/40,positive,10/3,14/25,positive
3,0;0;0;3;12,9/5,6/5,3/2,positive,12/5,27/20,positive,3,3/5,positive
4,0;0;0;4;11,26/15,6/5,13/9,positive,92/45,169/115,positive,8/3,13/20,positive
5,0;0;0;5;10,5/3,6/5,25/18,positive,16/9,25/16,positive,7/3,5/7,positive
6,0;0;0;6;9,8/5,6/5,4/3,positive,8/5,8/5,positive,2,4/5,positive
7,0;0;0;7;8,23/15,6/5,23/18,positive,68/45,529/340,positive,5/3,23/25,positive
8,0;0;0;8;7,22/15,6/5,11/9,positive,68/45,121/85,positive,5/3,22/25,positive
9,0;0;0;9;6,7/5,6/5,7/6,positive,8/5,49/40,positive,2,7/10,positive
10,0;0;0;10;5,4/3,6/5,10/9,positive,16/9,1,positive,7/3,4/7,positive
11,0;0;0;11;4,19/15,6/5,19/18,positive,92/45,361/460,positive,8/3,19/40,positive
12,0;0;0;12;3,6/5,6/5,1,positive,12/5,3/5,positive,3,2/5,positive
13,0;0;0;13;2,17/15,4/3,17/20,positive,128/45,289/640,positive,10/3,17/50,positive
14,0;0;0;14;1,16/15,22/15,8/11,positive,152/45,32/95,positive,11/3,16/55,positive
15,0;0;0;15;0,1,8/5,5/8,positive,4,1/4,positive,4,1/4,zero
16,0;0;1;0;14,28/15,22/15,14/11,positive,152/45,98/95,positive,11/3,28/55,positive
17,0;0;1;1;13,9/5,4/3,27/20,positive,14/5,81/70,positive,10/3,27/50,positive
18,0;0;1;2;12,26/15,6/5,13/9,positive,104/45,13/10,positive,3,26/45,positive
19,0;0;1;3;11,5/3,16/15,25/16,positive,86/45,125/86,positive,8/3,5/8,positive
20,0;0;1;4;10,8/5,16/15,3/2,positive,8/5,8/5,positive,7/3,24/35,positive
21,0;0;1;5;9,23/15,16/15,23/16,positive,62/45,529/310,positive,2,23/30,positive
22,0;0;1;6;8,22/15,16/15,11/8,positive,56/45,121/70,positive,5/3,22/25,positive
23,0;0;1;7;7,7/5,16/15,21/16,positive,6/5,49/30,positive,4/3,21/20,positive
24,0;0;1;8;6,4/3,16/15,5/4,positive,56/45,10/7,positive,5/3,4/5,positive
25,0;0;1;9;5,19/15,16/15,19/16,positive,62/45,361/310,positive,2,19/30,positive
26,0;0;1;10;4,6/5,16/15,9/8,positive,8/5,9/10,positive,7/3,18/35,positive
27,0;0;1;11;3,17/15,16/15,17/16,positive,86/45,289/430,positive,8/3,17/40,positive
28,0;0;1;12;2,16/15,6/5,8/9,positive,104/45,32/65,positive,3,16/45,positive
29,0;0;1;13;1,1,4/3,3/4,positive,14/5,5/14,positive,10/3,3/10,positive
30,0;0;1;14;0,14/15,22/15,7/11,positive,152/45,49/190,positive,11/3,14/55,positive
31,0;0;2;0;13,26/15,4/3,13/10,positive,128/45,169/160,positive,10/3,13/25,positive
32,0;0;2;1;12,5/3,6/5,25/18,positive,104/45,125/104,positive,3,5/9,positive
33,0;0;2;2;11,8/5,16/15,3/2,positive,28/15,48/35,positive,8/3,3/5,positive
34,0;0;2;3;10,23/15,14/15,23/14,positive,68/45,529/340,positive,7/3,23/35,positive
35,0;0;2;4;9,22/15,14/15,11/7,positive,56/45,121/70,positive,2,11/15,positive
36,0;0;2;5;8,7/5,14/15,3/2,positive,16/15,147/80,positive,5/3,21/25,positive
