error_family,sample_size,policy_id,threshold,coverage,false_safe_rate
diffuse_low_error,32,gibbs:beta=0.25,-0.2,1.0,0.0
diffuse_low_error,32,gibbs:beta=0.25,-0.1,1.0,0.0
diffuse_low_error,32,gibbs:beta=0.25,-0.05,1.0,0.0
diffuse_low_error,32,gibbs:beta=0.25,0.0,0.0,0.0
diffuse_low_error,32,gibbs:beta=0.25,0.025,0.0,0.0
diffuse_low_error,32,gibbs:beta=0.25,0.05,0.0,0.0
diffuse_low_error,32,gibbs:beta=0.25,0.1,0.0,0.0
diffuse_low_error,32,gibbs:beta=0.5,-0.2,1.0,0.0
diffuse_low_error,32,gibbs:beta=0.5,-0.1,1.0,0.0
diffuse_low_error,32,gibbs:beta=0.5,-0.05,1.0,0.0
diffuse_low_error,32,gibbs:beta=0.5,0.0,0.0,0.0
diffuse_low_error,32,gibbs:beta=0.5,0.025,0.0,0.0
diffuse_low_error,32,gibbs:beta=0.5,0.05,0.0,0.0
diffuse_low_error,32,gibbs:beta=0.5,0.1,0.0,0.0
diffuse_low_error,32,gibbs:beta=1,-0.2,1.0,0.0
diffuse_low_error,32,gibbs:beta=1,-0.1,1.0,0.0
diffuse_low_error,32,gibbs:beta=1,-0.05,0.0,0.0
diffuse_low_error,32,gibbs:beta=1,0.0,0.0,0.0
diffuse_low_error,32,gibbs:beta=1,0.025,0.0,0.0
diffuse_low_error,32,gibbs:beta=1,0.05,0.0,0.0
diffuse_low_error,32,gibbs:beta=1,0.1,0.0,0.0
diffuse_low_error,32,gibbs:beta=2,-0.2,1.0,0.0
diffuse_low_error,32,gibbs:beta=2,-0.1,0.0,0.0
diffuse_low_error,32,gibbs:beta=2,-0.05,0.0,0.0
diffuse_low_error,32,gibbs:beta=2,0.0,0.0,0.0
diffuse_low_error,32,gibbs:beta=2,0.025,0.0,0.0
diffuse_low_error,32,gibbs:beta=2,0.05,0.0,0.0
diffuse_low_error,32,gibbs:beta=2,0.1,0.0,0.0
diffuse_low_error,32,gibbs:beta=4,-0.2,0.0,0.0
diffuse_low_error,32,gibbs:beta=4,-0.1,0.0,0.0
diffuse_low_error,32,gibbs:beta=4,-0.05,0.0,0.0
diffuse_low_error,32,gibbs:beta=4,0.0,0.0,0.0
diffuse_low_error,32,gibbs:beta=4,0.025,0.0,0.0
diffuse_low_error,32,gibbs:beta=4,0.05,0.0,0.0
diffuse_low_error,32,gibbs:beta=4,0.1,0.0,0.0
diffuse_low_error,32,best_of_n:n=2,-0.2,1.0,0.0
diffuse_low_error,32,best_of_n:n=2,-0.1,0.8564453125,0.0
diffuse_low_error,32,best_of_n:n=2,-0.05,0.0,0.0
diffuse_low_error,32,best_of_n:n=2,0.0,0.0,0.0
diffuse_low_error,32,best_of_n:n=2,0.025,0.0,0.0
diffuse_low_error,32,best_of_n:n=2,0.05,0.0,0.0
diffuse_low_error,32,best_of_n:n=2,0.1,0.0,0.0
diffuse_low_error,32,best_of_n:n=4,-0.2,0.0,0.0
diffuse_low_error,32,best_of_n:n=4,-0.1,0.0,0.0
