error_family,policy_id,optimizer_family,checkpoint,crossing_fraction_descriptive,mean_margin
diffuse_low_error,gibbs:beta=0.25,gibbs,32,0.0,-0.01990681068191777
diffuse_low_error,gibbs:beta=0.25,gibbs,64,0.0,-0.011623315261744246
diffuse_low_error,gibbs:beta=0.25,gibbs,128,0.0,-0.0030616086600751503
diffuse_low_error,gibbs:beta=0.25,gibbs,256,1.0,0.0029876700267201036
diffuse_low_error,gibbs:beta=0.25,gibbs,512,1.0,0.007274311760689235
diffuse_low_error,gibbs:beta=0.25,gibbs,1024,1.0,0.010301367604307568
diffuse_low_error,gibbs:beta=0.25,gibbs,2048,1.0,0.012442149439930585
diffuse_low_error,gibbs:beta=0.25,gibbs,4096,1.0,0.01395514458393114
diffuse_low_error,gibbs:beta=0.25,gibbs,8192,1.0,0.015024937193039094
diffuse_low_error,gibbs:beta=0.25,gibbs,16384,1.0,0.015781124171862736
diffuse_low_error,gibbs:beta=0.25,gibbs,32768,1.0,0.01631663923929014
diffuse_low_error,gibbs:beta=0.25,gibbs,65536,1.0,0.016695448430769096
diffuse_low_error,gibbs:beta=0.25,gibbs,131072,1.0,0.016963063512337645
diffuse_low_error,gibbs:beta=0.25,gibbs,262144,1.0,0.01715236742460706
diffuse_low_error,gibbs:beta=0.25,gibbs,524288,1.0,0.01728614055803627
diffuse_low_error,gibbs:beta=0.25,gibbs,1048576,1.0,0.01746823861713468
diffuse_low_error,gibbs:beta=0.5,gibbs,32,0.0,-0.039818366979588266
diffuse_low_error,gibbs:beta=0.5,gibbs,64,0.0,-0.02592536126417834
diffuse_low_error,gibbs:beta=0.5,gibbs,128,0.0,-0.008167065134169956
diffuse_low_error,gibbs:beta=0.5,gibbs,256,1.0,0.004401520754062609
diffuse_low_error,gibbs:beta=0.5,gibbs,512,1.0,0.013307875973417828
diffuse_low_error,gibbs:beta=0.5,gibbs,1024,1.0,0.019597189679867177
diffuse_low_error,gibbs:beta=0.5,gibbs,2048,1.0,0.024045091944269285
diffuse_low_error,gibbs:beta=0.5,gibbs,4096,1.0,0.027188641845079707
diffuse_low_error,gibbs:beta=0.5,gibbs,8192,1.0,0.029411349871330834
diffuse_low_error,gibbs:beta=0.5,gibbs,16384,1.0,0.03098247950231551
diffuse_low_error,gibbs:beta=0.5,gibbs,32768,1.0,0.03209511911901826
diffuse_low_error,gibbs:beta=0.5,gibbs,65536,1.0,0.0328821709486435
diffuse_low_error,gibbs:beta=0.5,gibbs,131072,1.0,0.03343819478418324
diffuse_low_error,gibbs:beta=0.5,gibbs,262144,1.0,0.03383151150895741
diffuse_low_error,gibbs:beta=0.5,gibbs,524288,1.0,0.03410945193856816
diffuse_low_error,gibbs:beta=0.5,gibbs,1048576,1.0,0.03481171581956032
diffuse_low_error,gibbs:beta=1,gibbs,32,0.0,-0.07966970929194504
diffuse_low_error,gibbs:beta=1,gibbs,64,0.0,-0.053656221083845095
diffuse_low_error,gibbs:beta=1,gibbs,128,0.0,-0.02481371735835364
diffuse_low_error,gibbs:beta=1,gibbs,256,0.9990234375,0.0021489379313517553
diffuse_low_error,gibbs:beta=1,gibbs,512,1.0,0.021255223061803483
diffuse_low_error,gibbs:beta=1,gibbs,1024,1.0,0.03474732145567137
diffuse_low_error,gibbs:beta=1,gibbs,2048,1.0,0.044289147129923004
diffuse_low_error,gibbs:beta=1,gibbs,4096,1.0,0.05103282164631348
