error_family,policy_id,optimizer_family,checkpoint,empirical_bernstein_crossing_fraction_descriptive,mean_margin
diffuse_low_error,gibbs:beta=0.25,gibbs,32,0.0,-0.03239036719461046
diffuse_low_error,gibbs:beta=0.25,gibbs,64,0.0,-0.01636632718609102
diffuse_low_error,gibbs:beta=0.25,gibbs,128,0.0771484375,-0.0003104916546734786
diffuse_low_error,gibbs:beta=0.25,gibbs,256,1.0,0.008511336411485139
diffuse_low_error,gibbs:beta=0.25,gibbs,512,1.0,0.012952562775747328
diffuse_low_error,gibbs:beta=0.25,gibbs,1024,1.0,0.015199177275229209
diffuse_low_error,gibbs:beta=0.25,gibbs,2048,1.0,0.01634392584235593
diffuse_low_error,gibbs:beta=0.25,gibbs,4096,1.0,0.016933775262156506
diffuse_low_error,gibbs:beta=0.25,gibbs,8192,1.0,0.017258326564839707
diffuse_low_error,gibbs:beta=0.25,gibbs,16384,1.0,0.017973063313416762
diffuse_low_error,gibbs:beta=0.25,gibbs,32768,1.0,0.0183964047773872
diffuse_low_error,gibbs:beta=0.25,gibbs,65536,1.0,0.018633329087440736
diffuse_low_error,gibbs:beta=0.25,gibbs,131072,1.0,0.01876085145763638
diffuse_low_error,gibbs:beta=0.25,gibbs,262144,1.0,0.018827924922001124
diffuse_low_error,gibbs:beta=0.25,gibbs,524288,1.0,0.018862840018441733
diffuse_low_error,gibbs:beta=0.25,gibbs,1048576,1.0,0.01888094581886954
diffuse_low_error,gibbs:beta=0.5,gibbs,32,0.0,-0.0647453937967469
diffuse_low_error,gibbs:beta=0.5,gibbs,64,0.0,-0.03274876890820143
diffuse_low_error,gibbs:beta=0.5,gibbs,128,0.0,-0.0024510695318436244
diffuse_low_error,gibbs:beta=0.5,gibbs,256,1.0,0.01587804200053898
diffuse_low_error,gibbs:beta=0.5,gibbs,512,1.0,0.025105577695027553
diffuse_low_error,gibbs:beta=0.5,gibbs,1024,1.0,0.029773368477443253
diffuse_low_error,gibbs:beta=0.5,gibbs,2048,1.0,0.032151812492226386
