error_family,policy_id,optimizer_family,true_gain,hoeffding_minimum,hoeffding_median,empirical_bernstein_minimum,empirical_bernstein_q25,empirical_bernstein_median,empirical_bernstein_q75,empirical_bernstein_maximum,empirical_bernstein_censored,movement_partial_census,full_census
diffuse_low_error,gibbs:beta=0.25,gibbs,0.02156840220168199,256,256.0,128,256.0,256.0,256.0,256,0,27,64
diffuse_low_error,gibbs:beta=0.5,gibbs,0.04299129874815887,256,256.0,256,256.0,256.0,256.0,256,0,27,64
diffuse_low_error,gibbs:beta=1,gibbs,0.08487573013898489,256,256.0,256,256.0,256.0,256.0,256,0,27,64
diffuse_low_error,gibbs:beta=2,gibbs,0.16174912935303898,512,512.0,256,256.0,256.0,256.0,256,0,27,64
diffuse_low_error,gibbs:beta=4,gibbs,0.2764464712100259,1024,1024.0,256,256.0,256.0,256.0,256,0,28,64
diffuse_low_error,best_of_n:n=2,best_of_n,0.17006429036458334,256,256.0,128,128.0,128.0,128.0,256,0,27,64
diffuse_low_error,best_of_n:n=4,best_of_n,0.3055332471927007,1024,1024.0,256,256.0,256.0,256.0,256,0,30,64
diffuse_low_error,best_of_n:n=8,best_of_n,0.39601153343446527,2048,2048.0,512,512.0,512.0,512.0,512,0,30,64
diffuse_low_error,best_of_n:n=16,best_of_n,0.4499933327592194,8192,8192.0,1024,1024.0,1024.0,1024.0,1024,0,31,64
diffuse_low_error,best_of_n:n=32,best_of_n,0.4821277852049132,32768,32768.0,2048,2048.0,2048.0,2048.0,2048,0,31,64
diffuse_low_error,top_spike:alpha=0.1,top_spike,0.05257812500000002,524288,524288.0,8192,8192.0,8192.0,8192.0,8192,0,31,64
diffuse_low_error,top_spike:alpha=0.25,top_spike,0.1314453125,524288,524288.0,8192,8192.0,8192.0,8192.0,8192,0,31,64
diffuse_low_error,top_spike:alpha=0.5,top_spike,0.262890625,524288,524288.0,8192,8192.0,8192.0,8192.0,8192,0,31,64
diffuse_low_error,top_spike:alpha=0.75,top_spike,0.39433593750000007,524288,524288.0,8192,8192.0,8192.0,8192.0,8192,0,31,64
diffuse_low_error,top_spike:alpha=1,top_spike,0.52578125,524288,524288.0,8192,8192.0,8192.0,8192.0,8192,0,31,64
diffuse_low_error,scrambled_gibbs:beta=0.25,scrambled_gibbs,0.022165322559344953,32768,32768.0,2048,2048.0,2048.0,2048.0,4096,0,46,64
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,0.043854917237848026,4096,4096.0,1024,1024.0,1024.0,1024.0,1024,0,35,64
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,0.08625938084893295,2048,2048.0,512,512.0,512.0,512.0,512,0,27,64
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,0.16405601957271065,1024,1024.0,512,512.0,512.0,512.0,512,0,27,64
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,0.2799679856212711,1024,1024.0,512,512.0,512.0,512.0,512,0,28,64
heteroskedastic_proxy_coupled,gibbs:beta=0.25,gibbs,0.014925222198070135,1024,1024.0,256,512.0,512.0,512.0,512,0,33,64
heteroskedastic_proxy_coupled,gibbs:beta=0.5,gibbs,0.029644491987264356,1024,1024.0,256,512.0,512.0,512.0,512,0,33,64
heteroskedastic_proxy_coupled,gibbs:beta=1,gibbs,0.05811095073623798,1024,1024.0,256,512.0,512.0,512.0,512,0,33,64
heteroskedastic_proxy_coupled,gibbs:beta=2,gibbs,0.10919845325658403,1024,1024.0,512,512.0,512.0,512.0,512,0,34,64
heteroskedastic_proxy_coupled,gibbs:beta=4,gibbs,0.1819099090294189,2048,2048.0,512,512.0,512.0,512.0,512,0,36,64
heteroskedastic_proxy_coupled,best_of_n:n=2,best_of_n,0.11809895833333332,1024,1024.0,256,512.0,512.0,512.0,512,0,33,64
heteroskedastic_proxy_coupled,best_of_n:n=4,best_of_n,0.20218692507062638,2048,2048.0,512,512.0,512.0,512.0,512,0,37,64
heteroskedastic_proxy_coupled,best_of_n:n=8,best_of_n,0.2508241461119017,4096,4096.0,1024,1024.0,1024.0,1024.0,1024,0,41,64
heteroskedastic_proxy_coupled,best_of_n:n=16,best_of_n,0.27505887206102386,65536,65536.0,2048,4096.0,4096.0,4096.0,4096,0,44,64
heteroskedastic_proxy_coupled,best_of_n:n=32,best_of_n,0.2848295501955307,,,,,,,,1024,46,64
heteroskedastic_proxy_coupled,top_spike:alpha=0.1,top_spike,0.02757936507936508,,,,,,,,1024,50,64
heteroskedastic_proxy_coupled,top_spike:alpha=0.25,top_spike,0.0689484126984127,,,,,,,,1024,50,64
heteroskedastic_proxy_coupled,top_spike:alpha=0.5,top_spike,0.1378968253968254,,,,,,,,1024,50,64
heteroskedastic_proxy_coupled,top_spike:alpha=0.75,top_spike,0.2068452380952381,,,,,,,,1024,50,64
heteroskedastic_proxy_coupled,top_spike:alpha=1,top_spike,0.2757936507936508,,,,,,,,1024,50,64
heteroskedastic_proxy_coupled,scrambled_gibbs:beta=0.25,scrambled_gibbs,0.014823439770433633,,,,,,,,1024,50,64
heteroskedastic_proxy_coupled,scrambled_gibbs:beta=0.5,scrambled_gibbs,0.02970489210381358,262144,524288.0,8192,8192.0,8192.0,8192.0,16384,0,41,64
heteroskedastic_proxy_coupled,scrambled_gibbs:beta=1,scrambled_gibbs,0.05848344209119951,4096,4096.0,1024,1024.0,1024.0,1024.0,1024,0,32,64
heteroskedastic_proxy_coupled,scrambled_gibbs:beta=2,scrambled_gibbs,0.1101062834444071,2048,2048.0,512,512.0,512.0,512.0,512,0,33,64
heteroskedastic_proxy_coupled,scrambled_gibbs:beta=4,scrambled_gibbs,0.18345874253479272,2048,2048.0,512,512.0,512.0,512.0,512,0,36,64
rare_top_tail,gibbs:beta=0.25,gibbs,0.017475639976165542,128,256.0,128,256.0,256.0,256.0,512,0,31,64
rare_top_tail,gibbs:beta=0.5,gibbs,0.034514783622086334,256,256.0,128,256.0,256.0,256.0,512,0,31,64
rare_top_tail,gibbs:beta=1,gibbs,0.06680131451283838,256,256.0,128,256.0,256.0,256.0,512,0,31,64
rare_top_tail,gibbs:beta=2,gibbs,0.121627604523523,256,512.0,256,512.0,512.0,512.0,1024,0,33,64
rare_top_tail,gibbs:beta=4,gibbs,0.1855316424558904,512,1024.0,256,512.0,512.0,1024.0,2048,0,35,64
rare_top_tail,best_of_n:n=2,best_of_n,0.13899739583333331,128,256.0,128,256.0,256.0,256.0,512,0,31,64
rare_top_tail,best_of_n:n=4,best_of_n,0.21666749318440753,512,1024.0,256,512.0,512.0,512.0,1024,0,36,64
rare_top_tail,best_of_n:n=8,best_of_n,0.20184629247565528,2048,4096.0,512,2048.0,2048.0,2048.0,4096,0,43,64
rare_top_tail,best_of_n:n=16,best_of_n,0.08080916962417083,262144,524288.0,8192,65536.0,131072.0,131072.0,262144,0,55,64
rare_top_tail,best_of_n:n=32,best_of_n,-0.13020111825098749,,,,,,,,1024,,
rare_top_tail,top_spike:alpha=0.1,top_spike,-0.04687500000000001,,,,,,,,1024,,
rare_top_tail,top_spike:alpha=0.25,top_spike,-0.1171875,,,,,,,,1024,,
rare_top_tail,top_spike:alpha=0.5,top_spike,-0.234375,,,,,,,,1024,,
rare_top_tail,top_spike:alpha=0.75,top_spike,-0.35156250000000006,,,,,,,,1024,,
rare_top_tail,top_spike:alpha=1,top_spike,-0.46875,,,,,,,,1024,,
rare_top_tail,scrambled_gibbs:beta=0.25,scrambled_gibbs,0.011109281660139098,32768,65536.0,2048,8192.0,16384.0,16384.0,32768,0,51,64
rare_top_tail,scrambled_gibbs:beta=0.5,scrambled_gibbs,0.02760515963134848,2048,4096.0,512,2048.0,2048.0,2048.0,4096,0,41,64
rare_top_tail,scrambled_gibbs:beta=1,scrambled_gibbs,0.058646169087824544,1024,2048.0,512,1024.0,1024.0,1024.0,2048,0,32,64
rare_top_tail,scrambled_gibbs:beta=2,scrambled_gibbs,0.11040869723412593,1024,2048.0,512,1024.0,1024.0,1024.0,2048,0,34,64
rare_top_tail,scrambled_gibbs:beta=4,scrambled_gibbs,0.1668600383182817,2048,4096.0,512,1024.0,1024.0,2048.0,4096,0,37,64
