timestamp_utc,phase,elapsed_seconds,temperature_c,gpu_memory_used_mb,io_mb_s,free_memory_mb,page_file_usage_mb
2026-07-31T04:38:04.4593903Z,runner,1.122,80,0,19.727,6200,114
2026-07-31T04:38:06.3836310Z,runner,3.046,80,0,535.705,6121,114
2026-07-31T04:38:08.2763968Z,runner,4.939,80,0,640.340,6141,114
2026-07-31T04:38:10.1814733Z,runner,6.844,80,0,579.743,6235,114
2026-07-31T04:38:12.1245014Z,runner,8.787,81,0,5.692,6014,114
2026-07-31T04:38:13.4808656Z,runner,10.144,81,0,22.997,5913,114
2026-07-31T04:38:14.8495551Z,runner,11.512,81,0,35.668,5906,114
2026-07-31T04:38:16.7334791Z,runner,13.396,81,0,15.095,5874,114
2026-07-31T04:38:18.4134653Z,runner,15.076,81,0,0.002,5796,114
2026-07-31T04:38:20.2925844Z,runner,16.955,82,67,1.339,5721,114
2026-07-31T04:38:21.7302368Z,runner,18.393,82,67,12.379,5680,114
2026-07-31T04:38:23.0546334Z,runner,19.717,82,67,4.943,5562,114
2026-07-31T04:38:24.3886049Z,runner,21.051,82,1519,0.000,4582,115
2026-07-31T04:38:25.7692203Z,runner,22.432,82,1529,0.004,4912,115
2026-07-31T04:38:27.1852147Z,runner,23.848,82,1575,0.000,4681,115
2026-07-31T04:38:28.5518676Z,runner,25.215,83,1673,0.006,4716,115
2026-07-31T04:38:29.9395166Z,runner,26.602,83,1787,0.007,4736,115
2026-07-31T04:38:31.3147481Z,runner,27.977,82,1793,0.005,5213,115
2026-07-31T04:38:32.7360371Z,runner,29.399,82,1793,0.004,5215,115
2026-07-31T04:38:34.1076157Z,runner,30.770,82,1793,0.005,5233,115
2026-07-31T04:38:35.4149739Z,runner,32.078,82,1793,0.006,5213,115
2026-07-31T04:38:36.7699546Z,runner,33.433,82,1793,0.006,5261,115
2026-07-31T04:38:38.1301074Z,runner,34.793,83,1793,0.006,5377,115
2026-07-31T04:38:39.4499157Z,runner,36.113,83,1793,0.004,5350,115
2026-07-31T04:38:40.8075839Z,runner,37.470,83,1793,0.007,5416,115
2026-07-31T04:38:42.1727719Z,runner,38.836,83,1793,0.005,5561,115
2026-07-31T04:38:43.7104211Z,runner,40.373,82,1793,0.003,5323,115
2026-07-31T04:38:45.1598871Z,runner,41.823,83,1793,0.003,5228,115
2026-07-31T04:38:46.5010693Z,runner,43.164,83,1793,0.004,5226,115
2026-07-31T04:38:47.8499836Z,runner,44.513,83,1793,0.007,5203,115
2026-07-31T04:38:49.1712597Z,runner,45.834,83,1793,0.005,5187,115
2026-07-31T04:38:50.5069069Z,runner,47.170,83,1793,0.007,5186,115
2026-07-31T04:38:51.8969816Z,runner,48.560,83,1793,0.004,5138,115
2026-07-31T04:38:53.3003783Z,runner,49.963,83,1911,0.005,5196,115
2026-07-31T04:38:54.6693556Z,runner,51.332,83,1911,0.007,5335,115
2026-07-31T04:38:56.0263740Z,runner,52.689,83,1911,0.005,5324,115
2026-07-31T04:38:57.3945165Z,runner,54.057,83,1911,0.003,5263,115
2026-07-31T04:38:58.7627677Z,runner,55.426,83,1911,0.006,5253,115
2026-07-31T04:39:00.1469550Z,runner,56.810,83,1911,0.004,5334,115
2026-07-31T04:39:01.5489779Z,runner,58.212,83,1911,0.004,5258,115
2026-07-31T04:39:03.0237649Z,runner,59.687,83,1911,0.004,5253,115
2026-07-31T04:39:04.4023158Z,runner,61.065,83,1911,0.007,5422,115
2026-07-31T04:39:05.7937193Z,runner,62.456,83,1911,0.006,5444,115
2026-07-31T04:39:07.1149201Z,runner,63.778,83,1911,0.006,5473,115
2026-07-31T04:39:08.4233360Z,runner,65.086,83,1911,0.006,5451,115
2026-07-31T04:39:09.7484074Z,runner,66.411,83,1911,0.004,5387,115
2026-07-31T04:39:11.1020615Z,runner,67.765,84,1911,0.007,5377,114
2026-07-31T04:39:12.4100327Z,runner,69.073,84,1911,0.007,5383,114
2026-07-31T04:39:13.7959317Z,runner,70.459,84,1911,0.005,5395,114
2026-07-31T04:39:15.1962045Z,runner,71.859,84,1911,0.006,5655,114
2026-07-31T04:39:16.5189796Z,runner,73.182,84,1911,0.005,5495,114
2026-07-31T04:39:17.8718820Z,runner,74.535,84,1911,0.005,5426,114
2026-07-31T04:39:19.2416023Z,runner,75.904,84,1911,0.006,5350,114
2026-07-31T04:39:20.6095065Z,runner,77.272,84,1911,0.005,5357,114
2026-07-31T04:39:22.0196379Z,runner,78.682,84,1911,0.005,5426,114
2026-07-31T04:39:23.3290236Z,runner,79.992,84,1911,0.006,5426,114
2026-07-31T04:39:24.6945151Z,runner,81.357,84,1911,0.004,5418,114
2026-07-31T04:39:26.0657466Z,runner,82.728,84,1911,0.007,5484,114
2026-07-31T04:39:27.4054323Z,runner,84.068,84,1911,0.004,5479,114
2026-07-31T04:39:28.7768045Z,runner,85.440,84,1911,0.006,5517,114
2026-07-31T04:39:30.1164311Z,runner,86.779,84,1911,0.006,5502,114
2026-07-31T04:39:31.4855522Z,runner,88.148,84,1911,0.005,5503,114
2026-07-31T04:39:32.8894797Z,runner,89.552,84,1911,0.004,5476,114
2026-07-31T04:39:34.1960881Z,runner,90.859,84,1911,0.007,5526,114
2026-07-31T04:39:35.5398497Z,runner,92.203,84,1911,0.005,5497,114
2026-07-31T04:39:36.8809891Z,runner,93.544,84,1911,0.007,5398,114
2026-07-31T04:39:38.2786631Z,runner,94.941,84,1911,0.004,5413,114
2026-07-31T04:39:39.6148724Z,runner,96.278,84,1911,0.005,5350,114
2026-07-31T04:39:41.0027179Z,runner,97.665,84,1911,0.005,5276,114
2026-07-31T04:39:42.4432820Z,runner,99.106,84,1911,0.005,5231,114
2026-07-31T04:39:43.8756793Z,runner,100.538,83,1911,0.003,5248,114
2026-07-31T04:39:45.2808299Z,runner,101.944,84,1911,0.004,5236,114
2026-07-31T04:39:46.7313388Z,runner,103.394,84,1911,0.003,5266,114
2026-07-31T04:39:48.1448694Z,runner,104.808,84,1911,0.005,5423,114
2026-07-31T04:39:49.5817434Z,runner,106.244,84,1911,0.004,5233,114
2026-07-31T04:39:51.0837884Z,runner,107.747,84,1911,0.004,5183,114
2026-07-31T04:39:52.4725870Z,runner,109.135,84,1911,0.004,5149,114
2026-07-31T04:39:53.8700268Z,runner,110.533,84,1911,0.004,5170,114
2026-07-31T04:39:55.3617933Z,runner,112.025,84,1911,0.004,5122,114
2026-07-31T04:39:56.8146792Z,runner,113.477,84,1911,0.003,5077,114
2026-07-31T04:39:58.2304649Z,runner,114.893,84,1911,0.003,5132,114
