dimension,reward_bound,delta,query_width,candidate_count,query_count,pair_count,unresolved_pair_count,complete,first_collision_left,first_collision_right
1,1,0,1,2,1,1,0,True,,
1,1,0,2,2,1,1,0,True,,
1,1,0,3,2,1,1,0,True,,
1,1,0,4,2,1,1,0,True,,
1,1,1/2,1,2,1,1,0,True,,
1,1,1/2,2,2,1,1,0,True,,
1,1,1/2,3,2,1,1,0,True,,
1,1,1/2,4,2,1,1,0,True,,
2,1,0,1,8,4,28,0,True,,
2,1,0,2,8,8,28,0,True,,
2,1,0,3,8,16,28,0,True,,
2,1,0,4,8,24,28,0,True,,
2,1,1/2,1,8,4,28,8,False,"[-1,-1]","[-1,0]"
2,1,1/2,2,8,8,28,0,True,,
2,1,1/2,3,8,16,28,0,True,,
2,1,1/2,4,8,24,28,0,True,,
3,1,0,1,26,13,325,0,True,,
3,1,0,2,26,49,325,0,True,,
3,1,0,3,26,145,325,0,True,,
3,1,0,4,26,289,325,0,True,,
3,1,1/2,1,26,13,325,48,False,"[-1,-1,-1]","[-1,-1,0]"
3,1,1/2,2,26,49,325,0,True,,
3,1,1/2,3,26,145,325,0,True,,
3,1,1/2,4,26,289,325,0,True,,
2,2,0,1,16,4,120,0,True,,
2,2,0,2,16,8,120,0,True,,
2,2,0,3,16,16,120,0,True,,
2,2,0,4,16,24,120,0,True,,
2,2,1/2,1,16,4,120,24,False,"[-2,-1]","[-1,-1]"
2,2,1/2,2,16,8,120,16,False,"[-2,-1]","[-1,-1]"
2,2,1/2,3,16,16,120,0,True,,
2,2,1/2,4,16,24,120,0,True,,
