timestamp_utc,phase,elapsed_seconds,temperature_c,gpu_memory_used_mb,io_mb_s,free_memory_mb,page_file_usage_mb
2026-08-01T16:01:49.2182948Z,runner,3.739,78,0,3.320,7293,92
2026-08-01T16:01:51.6385633Z,runner,6.159,79,0,0.000,8210,92
2026-08-01T16:01:53.5885232Z,runner,8.109,79,0,0.000,8184,92
2026-08-01T16:01:55.3737142Z,runner,9.894,79,0,1.231,8268,92
2026-08-01T16:01:56.7116497Z,runner,11.232,79,0,7.058,8128,92
2026-08-01T16:01:57.9867513Z,runner,12.507,79,0,46.873,8025,92
2026-08-01T16:01:59.9623940Z,runner,14.483,79,0,549.188,7819,92
2026-08-01T16:02:02.0266560Z,runner,16.547,80,0,346.378,7563,92
2026-08-01T16:02:03.6100843Z,runner,18.130,79,0,679.538,8014,92
2026-08-01T16:02:05.5415392Z,runner,20.062,79,0,214.531,7983,92
2026-08-01T16:02:07.7126409Z,runner,22.233,79,0,2.102,7848,92
2026-08-01T16:02:09.6970814Z,runner,24.217,79,0,0.683,7860,92
2026-08-01T16:02:11.6433639Z,runner,26.164,79,0,0.499,7835,92
2026-08-01T16:02:13.6044336Z,runner,28.125,79,0,0.495,7722,92
2026-08-01T16:02:15.6482358Z,runner,30.169,80,0,0.533,7760,92
2026-08-01T16:02:17.6727217Z,runner,32.193,79,0,0.975,7851,92
2026-08-01T16:02:19.6356109Z,runner,34.156,80,0,0.341,7842,92
2026-08-01T16:02:21.6526875Z,runner,36.173,80,0,2.568,7798,92
2026-08-01T16:02:23.6098490Z,runner,38.130,80,0,1.272,7855,92
2026-08-01T16:02:25.5735706Z,runner,40.094,80,0,0.796,7651,92
2026-08-01T16:02:27.6896340Z,runner,42.210,80,0,0.594,7385,92
2026-08-01T16:02:29.4508621Z,runner,43.971,80,0,1.100,7618,92
2026-08-01T16:02:31.4640288Z,runner,45.984,80,0,1.085,7535,92
2026-08-01T16:02:33.5224817Z,runner,48.043,80,0,0.992,7383,92
2026-08-01T16:02:35.6107103Z,runner,50.131,80,0,0.642,7365,92
2026-08-01T16:02:37.1048463Z,runner,51.625,80,0,1.109,7390,92
2026-08-01T16:02:39.1876846Z,runner,53.708,80,0,1.136,7514,92
2026-08-01T16:02:41.2192426Z,runner,55.740,80,0,1.146,7492,92
2026-08-01T16:02:43.2294122Z,runner,57.750,80,0,0.657,7426,92
2026-08-01T16:02:44.8024432Z,runner,59.323,81,0,0.998,7504,92
2026-08-01T16:02:46.3126659Z,runner,60.833,80,0,1.324,7427,92
2026-08-01T16:02:48.2475742Z,runner,62.768,80,0,1.348,7352,92
2026-08-01T16:02:50.4346140Z,runner,64.955,80,0,0.797,7226,92
2026-08-01T16:02:52.5632369Z,runner,67.084,81,0,0.486,7081,92
2026-08-01T16:02:53.9765085Z,runner,68.497,81,0,1.583,7042,92
2026-08-01T16:02:55.9825068Z,runner,70.503,81,0,16.180,7030,92
2026-08-01T16:02:57.3937251Z,runner,71.914,81,0,8.190,7278,92
2026-08-01T16:02:59.3457020Z,runner,73.866,81,0,2.121,7372,93
2026-08-01T16:03:01.3799977Z,runner,75.900,81,0,3.226,7281,93
2026-08-01T16:03:02.7308190Z,runner,77.251,81,0,13.642,7312,93
2026-08-01T16:03:04.6997294Z,runner,79.220,81,0,0.000,7270,95
2026-08-01T16:03:06.6987347Z,runner,81.219,81,8,0.282,7263,95
2026-08-01T16:03:08.2120099Z,runner,82.732,81,67,1.513,7234,96
2026-08-01T16:03:09.5536509Z,runner,84.074,81,67,12.177,7230,96
2026-08-01T16:03:10.9673011Z,runner,85.488,81,67,3.886,7160,96
2026-08-01T16:03:12.3657552Z,runner,86.886,82,1507,1.557,5892,96
2026-08-01T16:03:14.3812317Z,runner,88.902,82,1541,0.003,6421,96
2026-08-01T16:03:15.7144178Z,runner,90.235,82,1575,0.002,6218,96
2026-08-01T16:03:17.0614487Z,runner,91.582,82,1677,0.002,6203,97
2026-08-01T16:03:18.3718737Z,runner,92.892,81,1677,0.004,6343,97
2026-08-01T16:03:19.8619714Z,runner,94.382,81,1791,0.004,6458,101
2026-08-01T16:03:21.2713577Z,runner,95.792,81,1797,0.006,6496,112
2026-08-01T16:03:22.8592479Z,runner,97.380,81,1797,0.003,6665,112
2026-08-01T16:03:24.5128108Z,runner,99.033,82,1797,0.003,6594,112
2026-08-01T16:03:26.0306742Z,runner,100.551,81,1797,0.005,6753,112
2026-08-01T16:03:27.4711777Z,runner,101.992,82,1797,0.004,6723,112
2026-08-01T16:03:28.8250557Z,runner,103.345,82,1797,0.006,6743,112
2026-08-01T16:03:30.1023202Z,runner,104.623,82,1797,0.007,6715,112
2026-08-01T16:03:31.4685668Z,runner,105.989,82,1797,0.006,6744,112
2026-08-01T16:03:32.8016183Z,runner,107.322,82,1797,0.006,6642,112
2026-08-01T16:03:34.2249349Z,runner,108.745,82,1797,0.005,6578,112
2026-08-01T16:03:35.6272086Z,runner,110.148,82,1797,0.004,6430,112
2026-08-01T16:03:37.1266646Z,runner,111.647,82,1797,0.006,6433,112
2026-08-01T16:03:38.5316299Z,runner,113.052,82,1797,0.005,6414,112
2026-08-01T16:03:39.9624394Z,runner,114.483,82,1797,0.007,6742,112
2026-08-01T16:03:41.2792861Z,runner,115.800,82,1797,0.007,6681,112
2026-08-01T16:03:42.6984314Z,runner,117.219,82,1797,0.004,6640,112
2026-08-01T16:03:44.1227223Z,runner,118.643,82,1797,0.007,6691,112
2026-08-01T16:03:45.5398524Z,runner,120.060,82,1797,0.004,6675,112
2026-08-01T16:03:46.9078818Z,runner,121.428,82,1797,0.005,6679,112
2026-08-01T16:03:48.2542056Z,runner,122.775,82,1797,0.006,6668,112
2026-08-01T16:03:49.6603169Z,runner,124.181,82,1797,0.004,6641,112
2026-08-01T16:03:51.1041763Z,runner,125.625,82,1797,0.005,6687,112
2026-08-01T16:03:52.4862745Z,runner,127.007,82,1797,0.006,6664,112
2026-08-01T16:03:53.8470787Z,runner,128.367,82,1797,0.006,6709,112
2026-08-01T16:03:55.1984572Z,runner,129.719,82,1797,0.006,6662,112
2026-08-01T16:03:56.6996307Z,runner,131.220,82,1797,0.003,6602,112
2026-08-01T16:03:58.1663945Z,runner,132.687,82,1797,0.005,6600,112
2026-08-01T16:03:59.5593046Z,runner,134.080,83,1797,0.004,6702,112
2026-08-01T16:04:00.8997735Z,runner,135.420,82,1797,0.007,6566,112
2026-08-01T16:04:02.3419997Z,runner,136.862,82,1797,0.004,6494,112
2026-08-01T16:04:03.7860639Z,runner,138.306,82,1797,0.007,6396,112
2026-08-01T16:04:05.1627926Z,runner,139.683,82,1797,0.004,6204,112
2026-08-01T16:04:06.6571204Z,runner,141.177,83,1797,0.004,6132,112
2026-08-01T16:04:08.0983324Z,runner,142.619,82,1797,0.005,6010,112
2026-08-01T16:04:09.5750245Z,runner,144.095,82,1797,0.004,5906,112
2026-08-01T16:04:11.0872734Z,runner,145.608,82,1797,0.003,5687,112
2026-08-01T16:04:12.8733306Z,runner,147.394,82,1797,0.002,5775,112
2026-08-01T16:04:14.4413142Z,runner,148.962,82,1797,0.003,5738,112
2026-08-01T16:04:15.9439819Z,runner,150.464,82,1797,0.003,5652,112
2026-08-01T16:04:17.4738334Z,runner,151.994,82,1797,0.003,6529,112
2026-08-01T16:04:18.9828651Z,runner,153.503,82,1797,0.003,6383,112
2026-08-01T16:04:20.5252631Z,runner,155.046,82,1797,0.006,6218,112
2026-08-01T16:04:21.9657948Z,runner,156.486,83,1797,0.004,6374,112
2026-08-01T16:04:23.3139508Z,runner,157.834,83,1797,0.006,6386,112
2026-08-01T16:04:24.7721561Z,runner,159.293,83,1797,0.005,6413,112
2026-08-01T16:04:26.2205423Z,runner,160.741,83,1797,0.003,6344,112
2026-08-01T16:04:27.6401917Z,runner,162.161,83,1797,0.005,6267,112
2026-08-01T16:04:29.1336154Z,runner,163.654,83,1797,0.004,6217,112
2026-08-01T16:04:30.5100872Z,runner,165.030,83,1797,0.007,6202,112
2026-08-01T16:04:31.9867160Z,runner,166.507,83,1797,0.004,6200,112
2026-08-01T16:04:33.4196272Z,runner,167.940,83,1797,0.006,6327,112
2026-08-01T16:04:34.9518075Z,runner,169.472,83,1797,0.004,6401,112
2026-08-01T16:04:36.3310227Z,runner,170.851,83,1797,0.007,6371,112
2026-08-01T16:04:37.7611209Z,runner,172.281,83,1797,0.005,6391,112
2026-08-01T16:04:39.1680327Z,runner,173.688,83,1797,0.005,6449,112
2026-08-01T16:04:40.5386007Z,runner,175.059,83,1797,0.004,6345,112
2026-08-01T16:04:42.1348791Z,runner,176.655,83,1797,0.003,6586,112
2026-08-01T16:04:44.1512923Z,runner,178.672,82,1797,0.003,6596,112
2026-08-01T16:04:46.1263807Z,runner,180.647,82,1797,0.001,6528,112
2026-08-01T16:04:47.6462460Z,runner,182.167,83,1797,0.006,6547,112
2026-08-01T16:04:49.0554776Z,runner,183.576,83,1797,0.004,6560,112
2026-08-01T16:04:50.4971185Z,runner,185.017,83,1797,0.004,6396,112
2026-08-01T16:04:51.9555826Z,runner,186.476,83,1797,0.004,6337,112
2026-08-01T16:04:53.4822356Z,runner,188.003,83,1797,0.003,6234,112
2026-08-01T16:04:54.9381111Z,runner,189.458,83,1797,0.005,6264,112
2026-08-01T16:04:56.4385820Z,runner,190.959,83,1797,0.003,6350,112
2026-08-01T16:04:57.8519542Z,runner,192.372,83,1797,0.007,6508,112
2026-08-01T16:04:59.3533282Z,runner,193.874,83,1797,0.004,6501,112
2026-08-01T16:05:00.7642642Z,runner,195.285,83,1797,0.005,6648,112
2026-08-01T16:05:02.1590611Z,runner,196.679,83,1797,0.006,6691,112
2026-08-01T16:05:03.5818221Z,runner,198.102,83,1797,0.007,6653,112
2026-08-01T16:05:04.9789174Z,runner,199.499,83,1797,0.005,6685,112
2026-08-01T16:05:06.3735032Z,runner,200.894,83,1797,0.005,6647,112
2026-08-01T16:05:07.7235419Z,runner,202.244,83,1797,0.005,6513,112
2026-08-01T16:05:09.1372345Z,runner,203.658,83,1797,0.004,6451,112
2026-08-01T16:05:10.6153189Z,runner,205.136,83,1797,0.004,6541,112
2026-08-01T16:05:12.0959363Z,runner,206.616,83,1797,0.005,6703,112
2026-08-01T16:05:13.4972598Z,runner,208.018,83,1797,0.006,6656,112
2026-08-01T16:05:14.8965026Z,runner,209.417,83,1797,0.004,6579,112
2026-08-01T16:05:16.2775917Z,runner,210.798,83,1797,0.006,6571,112
2026-08-01T16:05:17.6983366Z,runner,212.219,83,1797,0.005,6639,112
2026-08-01T16:05:19.1071394Z,runner,213.627,83,1797,0.004,6550,112
2026-08-01T16:05:20.5343224Z,runner,215.055,83,1797,0.005,6542,112
2026-08-01T16:05:21.9374771Z,runner,216.458,83,1797,0.007,6538,112
2026-08-01T16:05:23.4347875Z,runner,217.955,83,1797,0.004,6497,112
2026-08-01T16:05:24.9362480Z,runner,219.457,83,1797,0.007,6471,112
2026-08-01T16:05:26.5029607Z,runner,221.023,83,1797,0.004,6550,112
2026-08-01T16:05:27.8720258Z,runner,222.392,83,1797,0.007,6547,112
2026-08-01T16:05:29.3266017Z,runner,223.847,83,1797,0.004,6480,112
2026-08-01T16:05:30.7596445Z,runner,225.280,83,1797,0.005,6596,112
2026-08-01T16:05:32.1394102Z,runner,226.660,83,1797,0.003,6557,112
2026-08-01T16:05:33.4989757Z,runner,228.019,83,1797,0.006,6545,112
2026-08-01T16:05:34.9428002Z,runner,229.463,83,1797,0.003,6629,112
2026-08-01T16:05:36.4372654Z,runner,230.958,83,1797,0.005,6567,112
2026-08-01T16:05:37.8828811Z,runner,232.403,83,1797,0.004,6587,112
2026-08-01T16:05:39.2996762Z,runner,233.820,83,1797,0.004,6500,112
2026-08-01T16:05:40.7785443Z,runner,235.299,83,1797,0.004,6453,112
2026-08-01T16:05:42.2422716Z,runner,236.763,83,1797,0.006,6540,112
2026-08-01T16:05:43.6526317Z,runner,238.173,83,1797,0.005,6575,112
2026-08-01T16:05:45.1107765Z,runner,239.631,83,1797,0.005,6596,112
2026-08-01T16:05:46.4851307Z,runner,241.005,83,1797,0.004,6531,112
2026-08-01T16:05:47.9156050Z,runner,242.436,83,1797,0.004,6393,112
2026-08-01T16:05:49.4176469Z,runner,243.938,83,1797,0.004,6211,112
2026-08-01T16:05:51.0462081Z,runner,245.567,83,1797,0.004,6231,112
2026-08-01T16:05:52.5067096Z,runner,247.027,83,1797,0.004,6176,112
2026-08-01T16:05:53.9640578Z,runner,248.484,83,1797,0.004,6133,112
2026-08-01T16:05:55.4177028Z,runner,249.938,83,1797,0.004,6060,112
2026-08-01T16:05:56.8863453Z,runner,251.407,83,1797,0.007,6492,112
2026-08-01T16:05:58.3783267Z,runner,252.899,83,1797,0.003,6511,112
2026-08-01T16:05:59.8943065Z,runner,254.415,83,1797,0.004,6541,112
2026-08-01T16:06:01.3648310Z,runner,255.885,83,1797,0.005,6464,112
2026-08-01T16:06:02.8193312Z,runner,257.340,83,1797,0.004,6444,112
2026-08-01T16:06:04.2147758Z,runner,258.735,83,1797,0.006,6509,112
2026-08-01T16:06:05.6226921Z,runner,260.143,83,1797,0.004,6475,112
2026-08-01T16:06:07.0591529Z,runner,261.580,83,1797,0.006,6491,112
2026-08-01T16:06:08.4354948Z,runner,262.956,83,1797,0.004,6504,112
2026-08-01T16:06:09.8828486Z,runner,264.403,83,1797,0.003,6532,112
2026-08-01T16:06:11.2993603Z,runner,265.820,83,1797,0.005,6563,112
2026-08-01T16:06:12.6781980Z,runner,267.199,83,1797,0.004,6542,112
2026-08-01T16:06:14.0850232Z,runner,268.605,83,1797,0.006,6479,112
2026-08-01T16:06:15.8842480Z,runner,270.405,83,1797,0.004,6480,112
2026-08-01T16:06:17.4026190Z,runner,271.923,83,1797,0.004,6444,112
2026-08-01T16:06:18.8442824Z,runner,273.365,83,1797,0.007,6472,112
2026-08-01T16:06:20.2745796Z,runner,274.795,83,1797,0.004,6402,112
2026-08-01T16:06:21.7781864Z,runner,276.299,83,1797,0.006,6288,112
2026-08-01T16:06:23.2083948Z,runner,277.729,83,1797,0.005,6182,112
2026-08-01T16:06:24.7012752Z,runner,279.222,83,1797,0.003,6314,112
2026-08-01T16:06:26.1150303Z,runner,280.635,83,1797,0.005,6355,112
2026-08-01T16:06:27.5904817Z,runner,282.111,83,1797,0.005,6345,112
2026-08-01T16:06:28.9748827Z,runner,283.495,83,1797,0.004,6358,112
2026-08-01T16:06:30.3627713Z,runner,284.883,83,1797,0.006,6305,112
2026-08-01T16:06:31.8876445Z,runner,286.408,83,1797,0.004,6295,112
2026-08-01T16:06:33.2550150Z,runner,287.775,83,1797,0.006,6345,112
2026-08-01T16:06:34.6477144Z,runner,289.168,83,1797,0.004,6331,112
2026-08-01T16:06:36.1169708Z,runner,290.637,83,1797,0.005,6292,112
2026-08-01T16:06:37.5993117Z,runner,292.120,83,1797,0.003,6229,112
2026-08-01T16:06:39.1120314Z,runner,293.632,83,1797,0.003,6346,112
2026-08-01T16:06:40.7047664Z,runner,295.225,83,1797,0.004,6408,112
2026-08-01T16:06:42.0933756Z,runner,296.614,83,1797,0.005,6518,112
2026-08-01T16:06:43.4979664Z,runner,298.018,83,1797,0.007,6528,112
2026-08-01T16:06:44.9627608Z,runner,299.483,83,1797,0.007,6482,112
2026-08-01T16:06:46.3650221Z,runner,300.885,83,1797,0.004,6440,112
2026-08-01T16:06:47.7978504Z,runner,302.318,83,1797,0.006,6414,112
2026-08-01T16:06:49.2291348Z,runner,303.749,83,1797,0.004,6592,112
2026-08-01T16:06:50.6202924Z,runner,305.141,83,1797,0.004,6566,112
2026-08-01T16:06:52.0742496Z,runner,306.595,83,1797,0.003,6627,112
2026-08-01T16:06:53.4707083Z,runner,307.991,83,1797,0.005,6620,112
2026-08-01T16:06:54.9057170Z,runner,309.426,83,1797,0.004,6596,112
2026-08-01T16:06:56.2553216Z,runner,310.776,83,1797,0.005,6522,112
2026-08-01T16:06:57.7238609Z,runner,312.244,83,1797,0.004,6470,112
2026-08-01T16:06:59.1930366Z,runner,313.713,83,1797,0.006,6471,112
2026-08-01T16:07:00.6058555Z,runner,315.126,83,1797,0.004,6416,112
2026-08-01T16:07:02.0639761Z,runner,316.584,83,1797,0.003,6334,112
2026-08-01T16:07:03.5274886Z,runner,318.048,83,1797,0.003,6257,112
2026-08-01T16:07:05.1375565Z,runner,319.658,83,1797,0.003,6191,112
2026-08-01T16:07:06.6670165Z,runner,321.187,83,1797,0.003,6130,112
2026-08-01T16:07:08.1233432Z,runner,322.644,83,1797,0.006,6619,112
2026-08-01T16:07:09.5846189Z,runner,324.105,83,1797,0.004,6641,112
2026-08-01T16:07:10.9954386Z,runner,325.516,84,1797,0.007,6611,112
2026-08-01T16:07:12.3414671Z,runner,326.862,84,1797,0.004,6625,112
2026-08-01T16:07:13.6971227Z,runner,328.217,84,1797,0.007,6623,112
2026-08-01T16:07:15.0783484Z,runner,329.599,84,1797,0.007,6633,112
2026-08-01T16:07:16.4423150Z,runner,330.963,83,1797,0.005,6551,112
2026-08-01T16:07:17.8945565Z,runner,332.415,83,1797,0.003,6485,112
2026-08-01T16:07:19.3383778Z,runner,333.859,83,1797,0.004,6489,112
2026-08-01T16:07:20.7378361Z,runner,335.258,83,1797,0.004,6466,112
2026-08-01T16:07:22.1775072Z,runner,336.698,83,1797,0.004,6401,112
