timestamp_utc,temperature_c,memory_used_mb,power_w
2026/07/29 21:13:32.331, 24, 1, 14.31
2026/07/29 21:13:32.881, 24, 1, 14.31
2026/07/29 21:13:33.423, 24, 1, 14.23
2026/07/29 21:13:33.963, 24, 1, 14.23
2026/07/29 21:13:34.503, 24, 1, 14.27
2026/07/29 21:13:35.044, 24, 1, 14.44
2026/07/29 21:13:35.588, 24, 1, 14.44
2026/07/29 21:13:36.132, 24, 1, 14.36
2026/07/29 21:13:36.674, 24, 1, 14.36
2026/07/29 21:13:37.218, 24, 1, 14.30
2026/07/29 21:13:37.764, 24, 1, 14.30
2026/07/29 21:13:38.311, 24, 1, 14.39
2026/07/29 21:13:38.857, 24, 1, 14.39
2026/07/29 21:13:39.403, 24, 1, 14.36
2026/07/29 21:13:39.952, 24, 1, 14.36
2026/07/29 21:13:40.499, 24, 1, 14.38
2026/07/29 21:13:41.042, 25, 1, 14.46
2026/07/29 21:13:41.586, 25, 1, 14.46
2026/07/29 21:13:42.131, 25, 1, 14.41
2026/07/29 21:13:42.674, 25, 1, 14.41
2026/07/29 21:13:43.217, 24, 1, 14.42
2026/07/29 21:13:43.762, 24, 1, 14.42
2026/07/29 21:13:44.309, 24, 1, 14.50
2026/07/29 21:13:44.856, 24, 1, 14.50
2026/07/29 21:13:45.404, 24, 1, 14.70
2026/07/29 21:13:45.953, 24, 1, 14.70
2026/07/29 21:13:46.495, 24, 1, 14.94
2026/07/29 21:13:47.036, 24, 1, 14.85
2026/07/29 21:13:47.579, 24, 1, 14.85
2026/07/29 21:13:48.122, 24, 1, 14.51
2026/07/29 21:13:48.667, 24, 1, 14.51
2026/07/29 21:13:49.210, 25, 1, 14.34
2026/07/29 21:13:49.756, 25, 1, 14.34
2026/07/29 21:13:50.297, 24, 1, 14.32
2026/07/29 21:13:50.842, 24, 1, 14.32
2026/07/29 21:13:51.387, 24, 1, 14.27
2026/07/29 21:13:51.932, 24, 1, 14.27
2026/07/29 21:13:52.477, 24, 1, 14.35
2026/07/29 21:13:53.023, 24, 1, 14.35
2026/07/29 21:13:53.567, 25, 1, 14.35
2026/07/29 21:13:54.110, 25, 1, 14.40
2026/07/29 21:13:54.660, 25, 1, 14.40
2026/07/29 21:13:55.204, 24, 1, 14.50
2026/07/29 21:13:55.747, 24, 1, 14.50
2026/07/29 21:13:56.288, 24, 1, 14.28
2026/07/29 21:13:56.829, 24, 1, 14.28
2026/07/29 21:13:57.371, 24, 1, 14.23
2026/07/29 21:13:57.923, 24, 1, 14.23
2026/07/29 21:13:58.654, 25, 4, 17.44
2026/07/29 21:13:59.195, 25, 4, 22.49
2026/07/29 21:13:59.736, 25, 4, 22.49
2026/07/29 21:14:00.279, 25, 4, 15.77
2026/07/29 21:14:00.824, 25, 4, 15.77
2026/07/29 21:14:01.369, 24, 4, 15.11
2026/07/29 21:14:01.911, 24, 4, 15.11
2026/07/29 21:14:02.450, 24, 19, 15.28
2026/07/29 21:14:02.983, 26, 1710, 27.65
2026/07/29 21:14:03.525, 26, 1710, 60.81
2026/07/29 21:14:04.065, 26, 1710, 60.33
2026/07/29 21:14:04.607, 26, 1710, 60.44
2026/07/29 21:14:05.148, 26, 1712, 60.51
2026/07/29 21:14:05.685, 26, 1714, 60.47
2026/07/29 21:14:06.223, 26, 1718, 60.50
2026/07/29 21:14:06.760, 26, 1720, 60.48
2026/07/29 21:14:07.297, 27, 1724, 60.56
2026/07/29 21:14:07.837, 27, 1768, 60.59
2026/07/29 21:14:08.378, 27, 1768, 60.42
2026/07/29 21:14:08.920, 27, 1768, 60.36
2026/07/29 21:14:09.461, 27, 1768, 60.36
2026/07/29 21:14:10.001, 27, 1768, 60.34
2026/07/29 21:14:10.542, 27, 1768, 60.34
2026/07/29 21:14:11.081, 27, 1768, 60.27
2026/07/29 21:14:11.618, 27, 1768, 60.21
2026/07/29 21:14:12.156, 27, 1768, 60.32
2026/07/29 21:14:12.695, 27, 1830, 60.40
2026/07/29 21:14:13.233, 27, 1870, 60.57
2026/07/29 21:14:13.771, 28, 1918, 63.22
2026/07/29 21:14:14.312, 28, 2392, 71.00
2026/07/29 21:14:14.850, 27, 2392, 69.22
2026/07/29 21:14:15.390, 28, 2392, 67.22
2026/07/29 21:14:15.932, 28, 2392, 68.37
2026/07/29 21:14:16.471, 28, 2392, 68.10
2026/07/29 21:14:17.018, 28, 2392, 70.67
2026/07/29 21:14:17.566, 28, 2392, 68.75
2026/07/29 21:14:18.111, 28, 2392, 69.12
2026/07/29 21:14:18.650, 28, 2392, 68.69
2026/07/29 21:14:19.193, 28, 2392, 67.43
2026/07/29 21:14:19.738, 28, 2392, 68.89
2026/07/29 21:14:20.280, 28, 2392, 68.36
2026/07/29 21:14:20.818, 28, 2392, 72.02
2026/07/29 21:14:21.358, 28, 2392, 70.29
2026/07/29 21:14:21.896, 29, 2392, 72.10
2026/07/29 21:14:22.432, 28, 2392, 70.69
2026/07/29 21:14:22.971, 28, 2392, 68.24
2026/07/29 21:14:23.508, 28, 2392, 68.29
2026/07/29 21:14:24.045, 29, 2392, 68.83
2026/07/29 21:14:24.584, 28, 2392, 70.98
2026/07/29 21:14:25.123, 29, 2392, 68.99
2026/07/29 21:14:25.661, 29, 2392, 70.74
2026/07/29 21:14:26.199, 29, 2392, 69.21
2026/07/29 21:14:26.738, 29, 2392, 67.54
2026/07/29 21:14:27.274, 29, 2392, 68.50
2026/07/29 21:14:27.808, 29, 2392, 66.93
2026/07/29 21:14:28.351, 29, 2392, 71.60
2026/07/29 21:14:28.890, 29, 2392, 69.92
2026/07/29 21:14:29.433, 29, 2876, 70.92
2026/07/29 21:14:29.972, 29, 2876, 71.17
2026/07/29 21:14:30.508, 29, 2876, 68.41
2026/07/29 21:14:31.049, 29, 2876, 69.06
2026/07/29 21:14:31.585, 29, 2876, 67.91
2026/07/29 21:14:32.123, 29, 2876, 71.16
2026/07/29 21:14:32.656, 29, 2876, 70.14
2026/07/29 21:14:33.193, 29, 2876, 71.28
2026/07/29 21:14:33.730, 29, 2876, 69.71
2026/07/29 21:14:34.268, 29, 2876, 67.39
2026/07/29 21:14:34.805, 29, 2876, 68.46
2026/07/29 21:14:35.342, 30, 2876, 70.33
2026/07/29 21:14:35.879, 29, 2876, 72.27
2026/07/29 21:14:36.415, 30, 2876, 70.92
2026/07/29 21:14:36.953, 29, 2876, 72.42
2026/07/29 21:14:37.487, 30, 2876, 70.49
2026/07/29 21:14:38.022, 29, 2876, 70.51
2026/07/29 21:14:38.560, 29, 2876, 74.76
2026/07/29 21:14:39.101, 30, 2876, 75.88
2026/07/29 21:14:39.640, 30, 2876, 75.89
2026/07/29 21:14:40.179, 29, 2876, 74.27
2026/07/29 21:14:40.716, 30, 2876, 69.44
2026/07/29 21:14:41.252, 30, 2876, 70.92
2026/07/29 21:14:41.787, 30, 2876, 71.15
2026/07/29 21:14:42.326, 30, 2876, 70.29
2026/07/29 21:14:42.862, 29, 2876, 72.37
2026/07/29 21:14:43.396, 30, 2876, 69.10
2026/07/29 21:14:43.935, 29, 2876, 68.75
2026/07/29 21:14:44.471, 30, 2876, 68.20
2026/07/29 21:14:45.007, 30, 2876, 70.02
2026/07/29 21:14:45.543, 30, 2876, 69.88
2026/07/29 21:14:46.075, 30, 2876, 69.99
2026/07/29 21:14:46.610, 30, 2876, 69.34
2026/07/29 21:14:47.145, 30, 2876, 67.68
2026/07/29 21:14:47.678, 30, 2876, 68.47
2026/07/29 21:14:48.213, 30, 2876, 70.25
2026/07/29 21:14:48.747, 30, 2876, 71.76
2026/07/29 21:14:49.280, 30, 2876, 71.35
2026/07/29 21:14:49.815, 30, 2876, 75.25
2026/07/29 21:14:50.351, 30, 2876, 75.51
2026/07/29 21:14:50.885, 30, 2876, 69.25
2026/07/29 21:14:51.419, 30, 2876, 70.21
2026/07/29 21:14:51.953, 30, 2876, 76.36
2026/07/29 21:14:52.486, 30, 2876, 76.06
2026/07/29 21:14:53.024, 30, 2876, 74.33
2026/07/29 21:14:53.557, 30, 2876, 69.80
2026/07/29 21:14:54.093, 30, 2876, 72.49
2026/07/29 21:14:54.627, 30, 2876, 71.72
2026/07/29 21:14:55.161, 30, 2876, 72.47
2026/07/29 21:14:55.695, 30, 3384, 73.74
2026/07/29 21:14:56.229, 30, 3384, 70.90
2026/07/29 21:14:56.764, 30, 3384, 69.75
2026/07/29 21:14:57.298, 30, 3384, 70.07
2026/07/29 21:14:57.833, 30, 3384, 73.96
2026/07/29 21:14:58.371, 30, 3384, 76.40
2026/07/29 21:14:58.907, 30, 3384, 70.61
2026/07/29 21:14:59.449, 30, 3384, 68.95
2026/07/29 21:14:59.986, 30, 3384, 75.20
2026/07/29 21:15:00.519, 30, 3384, 76.39
2026/07/29 21:15:01.055, 30, 3384, 74.45
2026/07/29 21:15:01.587, 30, 3384, 71.54
2026/07/29 21:15:02.120, 30, 3384, 69.59
2026/07/29 21:15:02.654, 30, 3384, 70.38
2026/07/29 21:15:03.191, 30, 3384, 75.39
2026/07/29 21:15:03.730, 30, 3384, 76.70
2026/07/29 21:15:04.269, 30, 3384, 73.65
2026/07/29 21:15:04.807, 30, 3384, 69.71
2026/07/29 21:15:05.344, 30, 3384, 71.60
2026/07/29 21:15:05.879, 30, 3384, 75.32
2026/07/29 21:15:06.413, 31, 3384, 77.91
2026/07/29 21:15:06.948, 30, 3384, 75.37
2026/07/29 21:15:07.481, 30, 3384, 69.89
2026/07/29 21:15:08.015, 30, 3384, 69.31
2026/07/29 21:15:08.550, 31, 3384, 68.21
2026/07/29 21:15:09.085, 31, 3384, 69.94
2026/07/29 21:15:09.622, 31, 3384, 75.19
2026/07/29 21:15:10.162, 30, 3384, 75.91
2026/07/29 21:15:10.696, 31, 3384, 73.99
2026/07/29 21:15:11.236, 31, 3384, 68.73
2026/07/29 21:15:11.772, 31, 3384, 70.96
2026/07/29 21:15:12.309, 30, 3384, 71.95
2026/07/29 21:15:12.846, 31, 3384, 71.80
2026/07/29 21:15:13.383, 30, 3384, 72.79
2026/07/29 21:15:13.923, 31, 3384, 69.39
2026/07/29 21:15:14.459, 30, 3384, 69.40
2026/07/29 21:15:14.993, 31, 3384, 69.07
2026/07/29 21:15:15.530, 31, 3384, 71.48
2026/07/29 21:15:16.070, 30, 3384, 70.45
2026/07/29 21:15:16.610, 31, 3384, 69.13
2026/07/29 21:15:17.149, 31, 3384, 74.60
2026/07/29 21:15:17.688, 30, 3384, 71.74
2026/07/29 21:15:18.228, 31, 3386, 70.33
2026/07/29 21:15:18.767, 31, 3386, 72.32
2026/07/29 21:15:19.306, 30, 3386, 68.26
2026/07/29 21:15:19.848, 30, 358, 62.53
2026/07/29 21:15:20.388, 30, 358, 62.47
2026/07/29 21:15:20.930, 30, 358, 62.46
2026/07/29 21:15:21.470, 30, 358, 62.46
2026/07/29 21:15:22.016, 31, 358, 61.94
